Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
You're My Sugar	Deborahe Glasgow	Deborahe Glasgow & Patrick Donegan	Lovers Vol 1						Lovers Rock	7565778	314			1		1986	16/01/2011, 00:48	17/09/2018, 22:41	191	44100		MPEG audio file		Produced by Chris Cracknell						MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Deborahe Glasgow:Lovers Vol 1:01 You're My Sugar.mp3
Knight In Shining Armour	Deborahe Glasgow		Lovers Vol 1						Lovers Rock	4162416	258			5			16/01/2011, 00:48	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Deborahe Glasgow:Lovers Vol 1:05 Knight In Shining Armour.mp3
Lets Dub It Up	Dee Sharp		Lovers Vol 1						Lovers Rock	4315389	267			8		1980	17/09/2018, 23:42	17/09/2018, 22:41	128	44100		MPEG audio file					1	17/09/2018, 23:42		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Dee Sharp:Lovers Vol 1:08 Lets Dub It Up.mp3
Sing & Dine	Dee Sharp		Lovers Vol 1						Lovers Rock	4208517	262			22		1981	17/09/2018, 23:27	17/09/2018, 22:41	128	44100		MPEG audio file					1	17/09/2018, 23:42		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Dee Sharp:Lovers Vol 1:22 Sing & Dine.mp3
Dancing mood	Delroy Wilson 		Lovers Vol 1						Lovers Rock	2051536	170						16/01/2011, 16:53	17/09/2018, 22:41	95	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Delroy Wilson:Lovers Vol 1:Dancing mood.mp3
Undying Love	Delroy Wilson, Frankie Paul, Kashief Lindo, Singing Melody, Beres Hammond, Sanchez, Garnett Silk, Etc.		Lovers Vol 1						Lovers Rock	7370752	368						16/01/2011, 00:49	17/09/2018, 22:43	160	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Delroy Wilson, Frankie Paul, Kashief Lindo, Singing Melody, Beres Hammond, Sanchez, Garnett Silk, Etc_:Lovers Vol 1:Undying Love.mp3
Aint That Loving You	Dennis Brown		Lovers Vol 1						Lovers Rock	3099148	192						16/01/2011, 17:01	17/09/2018, 22:41	128	44100		MPEG audio file		 0000024D 0000024F 00000A8E 00000A8D 000222F7 000222F7 00003DD2 00003A6F 00013880 00013880						MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Dennis Brown:Lovers Vol 1:Aint That Loving You.mp3
How Could I leave	Dennis Brown		Lovers Vol 1						Lovers Rock	5793792	289						16/01/2011, 00:48	17/09/2018, 22:41	160	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Dennis Brown:Lovers Vol 1:How Could I leave.mp3
Silhouette 	Dennis Brown		Lovers Vol 1						Lovers Rock	3254983	203						16/01/2011, 16:54	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Dennis Brown:Lovers Vol 1:Silhouette.mp3
Sitting and watching	Dennis Brown		Lovers Vol 1						Lovers Rock	4004929	250						16/01/2011, 16:54	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Dennis Brown:Lovers Vol 1:Sitting and watching.mp3
Someone Special	Dennis Brown		Lovers Vol 1						Lovers Rock	3369346	209						16/01/2011, 16:54	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Dennis Brown:Lovers Vol 1:Someone Special.mp3
To The Foundation	Dennis Brown & Gregory Isaacs		Lovers Vol 1						Lovers Rock	14067395	351					2000	16/01/2011, 00:48	17/09/2018, 22:41	320	44100		MPEG audio file		www.d-motion.dhs.org						MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Dennis Brown & Gregory Isaacs:Lovers Vol 1:To The Foundation.mp3
The Closer I Get You	Dennis Brown & Janet Kay 		Lovers Vol 1						Lovers Rock	5540641	259						16/01/2011, 16:54	17/09/2018, 22:41	170	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Dennis Brown & Janet Kay:Lovers Vol 1:The Closer I Get You.mp3
Loves Just Around The Corner	Derrick Harriot		Lovers Vol 1						Lovers Rock	3390571	211			4		1975	17/09/2018, 23:24	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Derrick Harriot:Lovers Vol 1:04 Loves Just Around The Corner.mp3
Go Away Dream	Derrick Harriot		Lovers Vol 1						Lovers Rock	3313249	206			9		1975	17/09/2018, 23:28	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Derrick Harriot:Lovers Vol 1:09 Go Away Dream.mp3
Loser	Derrick Harriot		Lovers Vol 1						Lovers Rock	3442398	215			13		1975	17/09/2018, 23:24	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Derrick Harriot:Lovers Vol 1:13 Loser.mp3
Eighteen With A Bullet	Derrick Harriot		Lovers Vol 1						Lovers Rock	4393987	218			14			16/01/2011, 00:48	17/09/2018, 22:41	160	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Derrick Harriot:Lovers Vol 1:14 Eighteen With A Bullet.mp3
Come On Over 	Derrick Lara		Lovers Vol 1						Lovers Rock	3946791	245			7		1982	17/09/2018, 23:25	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Derrick Lara:Lovers Vol 1:07 Come On Over.mp3
Hello Stranger	Derrick Lara		Lovers Vol 1						Lovers Rock	4410392	275			15		1982	17/09/2018, 23:25	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Derrick Lara:Lovers Vol 1:15 Hello Stranger.mp3
i'm Still Waiting	Don Campbell	R.N. Marley	Lovers Vol 1						Lovers Rock	4366336	271			6		2002	16/01/2011, 00:48	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Various Artists:Lovers Vol 1:06 i'm Still Waiting.mp3
Lovers Do	Don Campbell	Don Campbell	Lovers Vol 1						Lovers Rock	3304889	206			6		1994	16/01/2011, 00:48	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Don Campbell:Lovers Vol 1:06 Lovers Do.mp3
See It In Your Eyes	Don Campbell		Lovers Vol 1						Lovers Rock	3645108	227						16/01/2011, 00:48	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Don Campbell:Lovers Vol 1:See It In Your Eyes.mp3
i'm Still Waiting	Don Campbell	R.N. Marley	Pure Lovers Vol 14						Lovers Rock	4366336	271			6		2002	17/09/2018, 23:21	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Various Artists:Pure Lovers Vol 14:06 i'm Still Waiting.mp3
Go Find Yourself A Fool	Don Carlos		Lovers Vol 1						Lovers Rock	4601231	285						16/01/2011, 00:48	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Don Carlos:Lovers Vol 1:Go Find Yourself A Fool.mp3
Dance With You	Don Ricardo		Sir Lloyd vol2						Lovers Rock	3721177	232			2		1995	17/09/2018, 23:25	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Don Ricardo:Sir Lloyd vol2:02 Dance With You.mp3
Its True	Donna Rhoden		Lovers Vol 1						Lovers Rock	4365614	269						16/01/2011, 00:48	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Donna Rhoden:Lovers Vol 1:Its True.mp3
Be Kind To My Man	Donna Rohden		Lovers Vol 1						Lovers Rock	3333311	206			11		1981	16/01/2011, 00:48	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Donna Rohden:Lovers Vol 1:11 Be Kind To My Man.mp3
This Is Lovers Rock	Eargasm		Lovers Vol 1						Lovers Rock	10269295	637						16/01/2011, 00:48	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Eargasm:Lovers Vol 1:This Is Lovers Rock.mp3
Happiness Forgets	Errol Dunkley		Lovers Vol 1						Lovers Rock	5695506	350			2			16/01/2011, 00:48	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Errol Dunkley:Lovers Vol 1:02 Happiness Forgets.mp3
Anniversary	Family Love		Lovers Vol 1						Lovers Rock	4354260	270			9			16/01/2011, 00:48	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Family Love:Lovers Vol 1:09 Anniversary.mp3
Natural Collie	Freddie McGregor	E. Smith/Freddie McGregor	Lovers Vol 1						Lovers Rock	3997364	248			3		1980	17/09/2018, 23:22	17/09/2018, 22:41	128	44100		MPEG audio file			1	17/09/2018, 23:26				MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Freddie McGregor:Lovers Vol 1:03 Natural Collie.mp3
Little Girl 	Heptic		Lovers Vol 1						Lovers Rock	3935506	244			7		1979	17/09/2018, 23:23	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Heptic:Lovers Vol 1:07 Little Girl.mp3
Pretty Looks Isn't All	The Heptones	B. Llewelyn/Clement "Coxsone" Dodd/Leroy Sibbles/Llewlyn	Lovers Vol 1						Lovers Rock	2409480	150			2		1994	16/01/2011, 00:49	17/09/2018, 22:43	128	44100		MPEG audio file		Track 2						MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Various Artists:Lovers Vol 1:02 Pretty Looks Isn't All.mp3
Back A Yard	In Crowd		Lovers Vol 1						Lovers Rock	6344748	393			2			16/01/2011, 00:48	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:In Crowd:Lovers Vol 1:02 Back A Yard.mp3
Getting Cozy	In Crowd		Lovers Vol 1						Lovers Rock	5475101	340			5			16/01/2011, 00:48	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:In Crowd:Lovers Vol 1:05 Getting Cozy.mp3
Love Is What You Make It	The Investigators		Lovers Vol 1						Lovers Rock	11606228	289			1			17/09/2018, 23:16	17/09/2018, 22:41	320	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:The Investigators:Lovers Vol 1:01 Love Is What You Make It.mp3
Close To You	The Investigators		Lovers Vol 1						Lovers Rock	14002054	349			3			17/09/2018, 23:16	17/09/2018, 22:41	320	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:The Investigators:Lovers Vol 1:03 Close To You.mp3
turn out lights	The Investigators		Lovers Vol 1						Lovers Rock	4477558	278			4		1979	17/09/2018, 23:17	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:The Investigators:Lovers Vol 1:04 turn out lights.mp3
how could i let you get away	The Investigators		Lovers Vol 1						Lovers Rock	4877921	302			6		1978	17/09/2018, 23:17	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:The Investigators:Lovers Vol 1:06 how could i let you get away.mp3
love & like	The Investigators		Lovers Vol 1						Lovers Rock	4991982	309			7			17/09/2018, 23:17	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:The Investigators:Lovers Vol 1:07 love & like.mp3
Summer Time Blues	The Investigators		Lovers Vol 1						Lovers Rock	13399189	334			8			17/09/2018, 23:17	17/09/2018, 22:41	320	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:The Investigators:Lovers Vol 1:08 Summer Time Blues.mp3
Loving In A World Of Magic	The Investigators		Lovers Vol 1						Lovers Rock	11516367	287			9			17/09/2018, 23:17	17/09/2018, 22:41	320	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:The Investigators:Lovers Vol 1:09 Loving In A World Of Magic.mp3
living in a world of magic	The Investigators		Lovers Vol 1						Lovers Rock	4626727	287			10		1983	17/09/2018, 23:17	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:The Investigators:Lovers Vol 1:10 living in a world of magic.mp3
woman i need your loving	The Investigators		Lovers Vol 1						Lovers Rock	5202215	323			11		1984	17/09/2018, 23:17	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:The Investigators:Lovers Vol 1:11 woman i need your loving 2.mp3
Woman I Need Your Loving	The Investigators		Lovers Vol 1						Lovers Rock	5304155	329			11			17/09/2018, 23:16	17/09/2018, 22:43	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:The Investigators:Lovers Vol 1:11 Woman I Need Your Loving.mp3
Baby I'm Yours	The Investigators		Lovers Vol 1						Lovers Rock	7965322	331			13			16/01/2011, 00:49	17/09/2018, 22:43	192	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Various Artists:Lovers Vol 1:13 Baby I'm Yours.mp3
Telephone line	The Investigators		Lovers Vol 1						Lovers Rock	2968850	185			20		1976	17/09/2018, 23:16	17/09/2018, 22:43	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:The Investigators:Lovers Vol 1:20 Telephone line.mp3
Baby I'm Yours	The Investigators		Lovers Vol 1						Lovers Rock	5355982	332						17/09/2018, 23:16	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:The Investigators:Lovers Vol 1:Baby I'm Yours.mp3
Do You Really Love 	Janet Kay		Lovers Vol 1						Lovers Rock	2428011	151			3		1982	17/09/2018, 23:15	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Janet Kay:Lovers Vol 1:03 Do You Really Love.mp3
Rock The Rhythm	Janet Kay		Lovers Vol 1						Lovers Rock	3721529	228			4			16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Janet Kay:Lovers Vol 1:04 Rock The Rhythm.mp3
Lovin You	Janet Kay		Lovers Vol 1						Lovers Rock	4364888	218			5		2001	17/09/2018, 23:15	17/09/2018, 22:41	160	44100		MPEG audio file		 000005B3 000006D2 00001D9C 00002300 00009C85 0000C37E 00005F8C 00006CE5 0002E675 0000C37E						MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Janet Kay:Lovers Vol 1:05 Lovin You.mp3
That Night	Janet Kay		Lovers Vol 1						Lovers Rock	3195802	199			6		1981	17/09/2018, 23:14	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Janet Kay:Lovers Vol 1:06 That Night.mp3
Imagine That	Janet Kay		Lovers Vol 1						Lovers Rock	2698514	167			7		1980	16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Janet Kay:Lovers Vol 1:07 Imagine That.mp3
Feel No Way	Janet Kay		Lovers Vol 1						Lovers Rock	3931327	244			8		1980	16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Janet Kay:Lovers Vol 1:08 Feel No Way.mp3
Sillouette	Janet Kay		Lovers Vol 1						Lovers Rock	4215623	263			9		1979	17/09/2018, 23:14	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Janet Kay:Lovers Vol 1:09 Sillouette.mp3
Thats What Friend Are For	Janet Kay		Lovers Vol 1						Lovers Rock	4622715	288			9			17/09/2018, 23:14	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Janet Kay:Lovers Vol 1:09 Thats What Friend Are For.mp3
I do love you	Janet Kay		Lovers Vol 1						Lovers Rock	3202488	199			15		1999	16/01/2011, 00:58	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Janet Kay:Lovers Vol 1:15 I do love you.mp3
I'd Rather Go Blind	Janet Kay		Lovers Vol 1						Lovers Rock	4139594	257						16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Janet Kay:Lovers Vol 1:I'd Rather Go Blind.mp3
Silly games	Janet Kay		Lovers Vol 1						Lovers Rock	3855090	241						16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Janet Kay:Lovers Vol 1:Silly games.mp3
You Bring The Sun Out	Janet Kay		Lovers Vol 1						Lovers Rock	4261220	265						16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file					1	17/09/2018, 23:12		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Janet Kay:Lovers Vol 1:You Bring The Sun Out.mp3
So amazing	Janet Kay 		Lovers Vol 1						Lovers Rock	3425560	214						16/01/2011, 16:55	17/09/2018, 22:41	128	44100		MPEG audio file					1	26/09/2018, 23:59		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Janet Kay:Lovers Vol 1:So amazing.MP3
Baby I've Been Missing You	Janet Lee Davis		Lovers Vol 1						Lovers Rock	1667219	229			1			16/01/2011, 00:49	17/09/2018, 22:41	56	22050		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Janet Lee Davis:Lovers Vol 1:01 Baby I've Been Missing You.mp3
Ooh Baby Baby	Janet Lee Davis		Lovers Vol 1						Lovers Rock	5896084	241			1			17/09/2018, 23:11	17/09/2018, 22:43	194	44100		MPEG audio file					1	17/09/2018, 23:11		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Janet Lee Davis:Lovers Vol 1:01 Ooh Baby Baby.mp3
Ive Made Up My Mind	Jean Adebambo		Lovers Vol 1						Lovers Rock	3365076	208			8		1988	16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Jean Adebambo:Lovers Vol 1:08 Ive Made Up My Mind.mp3
Reaching For A Goal	Jean Adebambo		Lovers Vol 1						Lovers Rock	2729861	169			19		1981	16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Jean Adebambo:Lovers Vol 1:19 Reaching For A Goal.mp3
I Want To Make It With You	Jean Adebambo		Lovers Vol 1						Lovers Rock	4342557	269			20		1981	16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Jean Adebambo:Lovers Vol 1:20 I Want To Make It With You.mp3
Never Gonna Give You Up	Jean Adebambo		Lovers Vol 1						Lovers Rock	3390989	210						16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Jean Adebambo:Lovers Vol 1:Never Gonna Give You Up.mp3
Paradise	Jean Adebambo		Lovers Vol 1						Lovers Rock	5227042	323						16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Jean Adebambo:Lovers Vol 1:Paradise.mp3
I'm Your Puppet	Jimmy London	Dan Penn/Spooner Oldham	Lovers Vol 1						Lovers Rock	2908160	181			1		1993	16/01/2011, 00:49	17/09/2018, 22:43	128	44100		MPEG audio file			1	17/09/2018, 23:33				MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Various Artists:Lovers Vol 1:01 I'm Your Puppet.mp3
Moving On	Jimmy London		Lovers Vol 1						Lovers Rock	4207022	175			21		2005	16/01/2011, 00:55	17/09/2018, 22:41	192	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Jimmy London:Lovers Vol 1:21 Moving On.mp3
if i gave my heart to you	john mc clean		Lovers Vol 1						Lovers Rock	3987835	249			18		1987	16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:john mc clean:Lovers Vol 1:18 if i gave my heart to you.mp3
we need love	johnny osborne		Lovers Vol 1						Lovers Rock	3418156	212			20			16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:johnny osborne:Lovers Vol 1:20 we need love.mp3
play girl	johnny osborne		Lovers Vol 1						Lovers Rock	2135607	132			21			16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:johnny osborne:Lovers Vol 1:21 play girl.mp3
You Had Your Chance	Joy Mack		Lovers Vol 1						Lovers Rock	4682065	292						17/09/2018, 23:11	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Joy Mack:Lovers Vol 1:You Had Your Chance.mp3
Stealing Love	Judy Boucher	Kelly Verdell	Lovers Vol 1						Lovers Rock	5820490	242			32		2001	16/01/2011, 00:49	17/09/2018, 22:41	192	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Various Artists:Lovers Vol 1:32 Stealing Love.mp3
Curly Locks	Junior Byles		Lovers Vol 1						Lovers Rock	2776589	173						16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Junior Byles:Lovers Vol 1:Curly Locks.mp3
Be Thankful	Junior English		Lovers Vol 1						Lovers Rock	3219250	199			15		1977	17/09/2018, 23:10	17/09/2018, 22:41	128	44100		MPEG audio file					1	26/09/2019, 00:43		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Junior English:Lovers Vol 1:15 Be Thankful.mp3
Never Win Never Lose	Junior English		Lovers Vol 1						Lovers Rock	3062933	190			17		1977	17/09/2018, 23:10	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Junior English:Lovers Vol 1:17 Never Win Never Lose.mp3
ready To Learn	Junior English		Lovers Vol 1						Lovers Rock	4373611	273			17		1984	17/09/2018, 23:10	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Junior English:Lovers Vol 1:17 ready To Learn.mp3
In Loving You	Junior English		Lovers Vol 1						Lovers Rock	3807694	237						16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file			1	26/09/2019, 00:50				MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Junior English:Lovers Vol 1:In Loving You.mp3
Rock reggae	Junior English		Lovers Vol 1						Lovers Rock	4223146	263					1981	17/09/2018, 23:09	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Junior English:Lovers Vol 1:Rock reggae.mp3
Take Care Of Yourself	Junior English		Lovers Vol 1						Lovers Rock	4450516	278						16/01/2011, 00:49	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Junior English:Lovers Vol 1:Take Care Of Yourself.mp3
If It's Love That You're Looking For	Keith Barrow		Lovers Vol 1						Lovers Rock	4092919	255						16/01/2011, 00:48	17/09/2018, 22:41	128	44100	205	MPEG audio file		 000005C9 000000C7 00003C53 000015C8 0001AB0A 00035353 00007445 00008060 0000ED0A 0000ED0A			1	26/09/2019, 00:51		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Keith Barrow:Lovers Vol 1:If It's Love That You're Looking For.mp3
Cool Down Amina	Keith Douglas		Lovers Vol 1						Lovers Rock	4289126	263			1			16/01/2011, 00:49	17/09/2018, 22:43	128	44100		MPEG audio file					1	26/09/2019, 00:51		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Keith Douglas:Lovers Vol 1:01 Cool Down Amina.mp3
I'm In Love With A Dreadlocks	Kofi		Lovers Vol 1						Lovers Rock	3413561	211			5			16/01/2011, 00:49	17/09/2018, 22:43	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Kofi:Lovers Vol 1:05 I'm In Love With A Dreadlocks.mp3
Black Pride	Kofi	J Kypie	Lovers Vol 1						Lovers Rock	3064897	189			10		2000	16/01/2011, 00:49	17/09/2018, 22:43	128	44100		MPEG audio file					1	17/09/2018, 23:08		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Various Artists:Lovers Vol 1:10 Black Pride.mp3
Didn't I	Kofi		Lovers Vol 1						Lovers Rock	6926506	432			14		1988	17/09/2018, 23:08	17/09/2018, 22:43	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Kofi:Lovers Vol 1:14 Didn't I.mp3
Love U Down	Lloyd Brown		Lovers Vol 1						Lovers Rock	4865800	302			2			16/01/2011, 00:49	17/09/2018, 22:43	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Lloyd Brown:Lovers Vol 1:02 Love U Down.mp3
Main Squeeze	Lloyd Brown	Lloyd Brown/W. Rodney	Lovers Vol 1						Lovers Rock	3626718	226			2		2003	16/01/2011, 00:49	17/09/2018, 22:43	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Lloyd Brown:Lovers Vol 1:02 Main Squeeze.mp3
Sharing The Night	Lloyd Brown		Lovers Vol 1						Lovers Rock	3321189	206			2		2005	16/01/2011, 00:49	17/09/2018, 22:43	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Lloyd Brown:Lovers Vol 1:02 Sharing The Night.mp3
I Will Always Love You Baby	Lorraine		Lovers Vol 1						Lovers Rock	3348357	207			4			16/01/2011, 00:49	17/09/2018, 22:43	128	44100		MPEG audio file					1	26/09/2019, 00:52		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Lorraine:Lovers Vol 1:04 I Will Always Love You Baby.mp3
Hello There	Louisa Mark		Lovers Vol 1						Lovers Rock	4145740	257			2			16/01/2011, 00:49	17/09/2018, 22:43	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Louisa Mark:Lovers Vol 1:02 Hello There.mp3
Caught You In A Lie	Louisa Marks		Lovers Vol 1						Lovers Rock	6534930	408			1			16/01/2011, 00:49	17/09/2018, 22:43	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Ya Ya:Lovers Vol 1:01 Caught You In A Lie.mp3
