Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Three Ring Circus	Barry Biggs	Eli/Eli Barrett	Lovers Vol 1						Lovers Rock	2671639	166			11		2003	16/01/2011, 00:48	17/09/2018, 22:31	128	44100		MPEG audio file		Another Sheepy Rip						MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Various Artists:Lovers Vol 1:11 Three Ring Circus.mp3
Wide Awake In A Dream	Barry Biggs	Wallace	Lovers Vol 1						Lovers Rock	3885274	242			32		2000	16/01/2011, 00:48	17/09/2018, 22:31	128	44100		MPEG audio file		 000005E3 000012BB 0000161A 00007624 00009C57 0002E675 00007D58 00008000 0002E65E 0002E65E	1	17/09/2018, 23:48				MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Various Artists:Lovers Vol 1:32 Wide Awake In A Dream.mp3
Goodnight My Love	Barry Biggs		Lovers Vol 1						Lovers Rock	3089030	192						16/01/2011, 00:48	17/09/2018, 22:31	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Barry Biggs:Lovers Vol 1:Goodnight My Love.mp3
Just My Imagination	Barry Biggs		Lovers Vol 1						Lovers Rock	3883575	242						17/09/2018, 23:44	17/09/2018, 22:31	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Barry Biggs:Lovers Vol 1:Just My Imagination.mp3
You Are My Life	Barry Biggs		Lovers Vol 1						Lovers Rock	2873352	179					1977	16/01/2011, 00:48	17/09/2018, 22:31	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Barry Biggs:Lovers Vol 1:You Are My Life.mp3
Making Love	barry boom		Lovers Vol 1						Lovers Rock	2726518	169			3		1989	17/01/2011, 19:34	17/09/2018, 22:31	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Barry Boom:Lovers Vol 1:03 Making Love.mp3
When you smile	Barry Boom 		Lovers Vol 1						Lovers Rock	3924535	245						16/01/2011, 16:50	17/09/2018, 22:31	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Barry Boom:Lovers Vol 1:When you smile.mp3
Wish I Had A Dream	Beres Hammond		Lovers Vol 1						Lovers Rock	2782858	173			23		1976	17/09/2018, 22:35	17/09/2018, 22:31	128	44100		MPEG audio file			1	17/09/2018, 22:37				MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Beres Hammond:Lovers Vol 1:23 Wish I Had A Dream.mp3
100% Of Loving	Beres Hammond 		Lovers Vol 1						Lovers Rock	3305472	204			1			16/01/2011, 16:50	17/09/2018, 22:31	128	44100		MPEG audio file		                            						MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Beres Hammond:Lovers Vol 1:01 100% Of Loving.mp3
Men Cry Too	Beshara								Lovers Rock	5820711	361			21		1981	17/09/2018, 22:36	17/09/2018, 22:31	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Beshara:Unknown Album:21 Men Cry Too.mp3
