,Unnamed: 0,track_name,artist,album,release_date,explicit,track_id,track_uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
694FJtgl7NZdDmUpmXE49D,1146,Not One Thing,Patrice Roberts,"Soca Universe 2019, Vol. 1",2019-02-22,False,694FJtgl7NZdDmUpmXE49D,spotify:track:694FJtgl7NZdDmUpmXE49D,soca,0.63,0.75,0.0,-4.767,1.0,0.224,0.204,0.0,0.286,0.845,105.567,audio_features,694FJtgl7NZdDmUpmXE49D,spotify:track:694FJtgl7NZdDmUpmXE49D,https://api.spotify.com/v1/tracks/694FJtgl7NZdDmUpmXE49D,https://api.spotify.com/v1/audio-analysis/694FJtgl7NZdDmUpmXE49D,186450.0,4.0
69K4DhE7mxixmURR6ojPtA,1024,Light Switch,Wico,Light Switch,2018-09-28,False,69K4DhE7mxixmURR6ojPtA,spotify:track:69K4DhE7mxixmURR6ojPtA,soca,0.824,0.809,4.0,-5.841,0.0,0.072,0.237,2.42e-05,0.0815,0.679,104.98,audio_features,69K4DhE7mxixmURR6ojPtA,spotify:track:69K4DhE7mxixmURR6ojPtA,https://api.spotify.com/v1/tracks/69K4DhE7mxixmURR6ojPtA,https://api.spotify.com/v1/audio-analysis/69K4DhE7mxixmURR6ojPtA,202257.0,4.0
69m2LGfngoS54OxYWR467i,1143,Body Good,Salty,"Soca Universe 2019, Vol. 1",2019-02-22,False,69m2LGfngoS54OxYWR467i,spotify:track:69m2LGfngoS54OxYWR467i,soca,0.82,0.82,0.0,-5.577,1.0,0.0702,0.123,0.0,0.197,0.452,102.932,audio_features,69m2LGfngoS54OxYWR467i,spotify:track:69m2LGfngoS54OxYWR467i,https://api.spotify.com/v1/tracks/69m2LGfngoS54OxYWR467i,https://api.spotify.com/v1/audio-analysis/69m2LGfngoS54OxYWR467i,226025.0,4.0
6ABpLuqX4tCpvsm0rA8PfD,1362,Dey We Gone,Pternsky,The Love Bug Riddim,2017-06-16,False,6ABpLuqX4tCpvsm0rA8PfD,spotify:track:6ABpLuqX4tCpvsm0rA8PfD,soca,0.846,0.766,10.0,-5.19,1.0,0.158,0.0885,0.0,0.105,0.829,104.925,audio_features,6ABpLuqX4tCpvsm0rA8PfD,spotify:track:6ABpLuqX4tCpvsm0rA8PfD,https://api.spotify.com/v1/tracks/6ABpLuqX4tCpvsm0rA8PfD,https://api.spotify.com/v1/audio-analysis/6ABpLuqX4tCpvsm0rA8PfD,214857.0,4.0
6AbXMszDhIleJsGgnAw8Kc,1331,Wucking Truck,Fraud Squad,Soca Hits Vol. 1,2006-01-01,False,6AbXMszDhIleJsGgnAw8Kc,spotify:track:6AbXMszDhIleJsGgnAw8Kc,soca,0.792,0.826,7.0,-5.848,1.0,0.221,0.0375,0.0,0.0604,0.724,155.044,audio_features,6AbXMszDhIleJsGgnAw8Kc,spotify:track:6AbXMszDhIleJsGgnAw8Kc,https://api.spotify.com/v1/tracks/6AbXMszDhIleJsGgnAw8Kc,https://api.spotify.com/v1/audio-analysis/6AbXMszDhIleJsGgnAw8Kc,201960.0,4.0
6AnmIKxy0Ht8ojkrlhEDyH,380,Fire (feat. Stadic & Jonny Blaze),Demarco,Fire (feat. Stadic & Jonny Blaze),2019-06-21,False,6AnmIKxy0Ht8ojkrlhEDyH,spotify:track:6AnmIKxy0Ht8ojkrlhEDyH,soca,0.712,0.798,8.0,-4.576,1.0,0.201,0.0913,0.0,0.24,0.796,99.856,audio_features,6AnmIKxy0Ht8ojkrlhEDyH,spotify:track:6AnmIKxy0Ht8ojkrlhEDyH,https://api.spotify.com/v1/tracks/6AnmIKxy0Ht8ojkrlhEDyH,https://api.spotify.com/v1/audio-analysis/6AnmIKxy0Ht8ojkrlhEDyH,220800.0,4.0
6AxialEjIE7B74QNAs1PGu,1423,Champion,Dwayne Bravo,Champion,2016-03-14,False,6AxialEjIE7B74QNAs1PGu,spotify:track:6AxialEjIE7B74QNAs1PGu,soca,0.94,0.808,7.0,-5.817,1.0,0.257,0.0665,1.07e-05,0.213,0.544,105.029,audio_features,6AxialEjIE7B74QNAs1PGu,spotify:track:6AxialEjIE7B74QNAs1PGu,https://api.spotify.com/v1/tracks/6AxialEjIE7B74QNAs1PGu,https://api.spotify.com/v1/audio-analysis/6AxialEjIE7B74QNAs1PGu,149002.0,4.0
6B9dOZNx7dZBZUVkkluoJS,697,Hit de Boy,Ma R Va Y,Twin Flame Riddim,2018-11-16,False,6B9dOZNx7dZBZUVkkluoJS,spotify:track:6B9dOZNx7dZBZUVkkluoJS,soca,0.74,0.915,7.0,-3.343,1.0,0.0358,0.254,0.0,0.239,0.747,120.002,audio_features,6B9dOZNx7dZBZUVkkluoJS,spotify:track:6B9dOZNx7dZBZUVkkluoJS,https://api.spotify.com/v1/tracks/6B9dOZNx7dZBZUVkkluoJS,https://api.spotify.com/v1/audio-analysis/6B9dOZNx7dZBZUVkkluoJS,178750.0,4.0
6BD8VB23BrS7git1m1fprZ,1365,Slow Motion - Banx & Ranx Edit,Kevin Lyttle,Slow Motion (Banx & Ranx Edit),2017-07-21,False,6BD8VB23BrS7git1m1fprZ,spotify:track:6BD8VB23BrS7git1m1fprZ,soca,0.619,0.904,8.0,-3.508,1.0,0.116,0.007,0.0274,0.0777,0.772,100.072,audio_features,6BD8VB23BrS7git1m1fprZ,spotify:track:6BD8VB23BrS7git1m1fprZ,https://api.spotify.com/v1/tracks/6BD8VB23BrS7git1m1fprZ,https://api.spotify.com/v1/audio-analysis/6BD8VB23BrS7git1m1fprZ,182559.0,4.0
6BdqY7G16VoLBvOkMGfJtY,1449,No Getaway,Blaxx,Soca Gold 2013,2013-05-17,False,6BdqY7G16VoLBvOkMGfJtY,spotify:track:6BdqY7G16VoLBvOkMGfJtY,soca,0.796,0.89,6.0,-2.678,1.0,0.0343,0.0992,0.0,0.0659,0.768,121.977,audio_features,6BdqY7G16VoLBvOkMGfJtY,spotify:track:6BdqY7G16VoLBvOkMGfJtY,https://api.spotify.com/v1/tracks/6BdqY7G16VoLBvOkMGfJtY,https://api.spotify.com/v1/audio-analysis/6BdqY7G16VoLBvOkMGfJtY,192400.0,4.0
6BsZqTHmaEK2UjJtDL0921,546,Mama,Dale Ryan,Foli Riddim,2018-10-26,False,6BsZqTHmaEK2UjJtDL0921,spotify:track:6BsZqTHmaEK2UjJtDL0921,soca,0.823,0.73,0.0,-5.383,1.0,0.0539,0.0887,0.0,0.123,0.361,103.011,audio_features,6BsZqTHmaEK2UjJtDL0921,spotify:track:6BsZqTHmaEK2UjJtDL0921,https://api.spotify.com/v1/tracks/6BsZqTHmaEK2UjJtDL0921,https://api.spotify.com/v1/audio-analysis/6BsZqTHmaEK2UjJtDL0921,192981.0,4.0
6BzrJnpSeB1ui9AzQrUEih,1347,Traffic,Berbice,"Berbice, Vol. 2",2012-05-24,False,6BzrJnpSeB1ui9AzQrUEih,spotify:track:6BzrJnpSeB1ui9AzQrUEih,soca,0.776,0.885,9.0,-4.106,0.0,0.254,0.28,0.0,0.564,0.78,159.968,audio_features,6BzrJnpSeB1ui9AzQrUEih,spotify:track:6BzrJnpSeB1ui9AzQrUEih,https://api.spotify.com/v1/tracks/6BzrJnpSeB1ui9AzQrUEih,https://api.spotify.com/v1/audio-analysis/6BzrJnpSeB1ui9AzQrUEih,229042.0,4.0
