,Unnamed: 0,track_name,artist,album,release_date,explicit,track_id,track_uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
00A8hsKelAI5N7bmcbvn9v,1119,So Long,Nadia Batson,Get Soca 2019,2019-02-22,False,00A8hsKelAI5N7bmcbvn9v,spotify:track:00A8hsKelAI5N7bmcbvn9v,soca,0.859,0.93,6.0,-3.794,1.0,0.103,0.155,1.05e-06,0.116,0.962,105.964,audio_features,00A8hsKelAI5N7bmcbvn9v,spotify:track:00A8hsKelAI5N7bmcbvn9v,https://api.spotify.com/v1/tracks/00A8hsKelAI5N7bmcbvn9v,https://api.spotify.com/v1/audio-analysis/00A8hsKelAI5N7bmcbvn9v,183541.0,4.0
00BBC45AUahDMdYaJ6wjxp,797,Mash Up,Destra,Queen of Bacchanal,2014-04-08,False,00BBC45AUahDMdYaJ6wjxp,spotify:track:00BBC45AUahDMdYaJ6wjxp,soca,0.768,0.942,8.0,-3.153,1.0,0.169,0.247,0.0,0.0616,0.905,159.986,audio_features,00BBC45AUahDMdYaJ6wjxp,spotify:track:00BBC45AUahDMdYaJ6wjxp,https://api.spotify.com/v1/tracks/00BBC45AUahDMdYaJ6wjxp,https://api.spotify.com/v1/audio-analysis/00BBC45AUahDMdYaJ6wjxp,193106.0,4.0
00v3qhEMB8Z8D5PU2LpDFK,832,Toc Tic,Marzville,Force It Riddim,2016-12-16,False,00v3qhEMB8Z8D5PU2LpDFK,spotify:track:00v3qhEMB8Z8D5PU2LpDFK,soca,0.891,0.858,2.0,-4.668,1.0,0.159,0.121,0.00631,0.0562,0.766,146.949,audio_features,00v3qhEMB8Z8D5PU2LpDFK,spotify:track:00v3qhEMB8Z8D5PU2LpDFK,https://api.spotify.com/v1/tracks/00v3qhEMB8Z8D5PU2LpDFK,https://api.spotify.com/v1/audio-analysis/00v3qhEMB8Z8D5PU2LpDFK,122000.0,4.0
01NRErhQZIau5ebhdXMhGs,1088,Dom Pérignon,Aidonia,Dom Pérignon,2018-12-20,True,01NRErhQZIau5ebhdXMhGs,spotify:track:01NRErhQZIau5ebhdXMhGs,soca,0.8,0.848,1.0,-6.937,1.0,0.23,0.222,0.0,0.257,0.537,105.075,audio_features,01NRErhQZIau5ebhdXMhGs,spotify:track:01NRErhQZIau5ebhdXMhGs,https://api.spotify.com/v1/tracks/01NRErhQZIau5ebhdXMhGs,https://api.spotify.com/v1/audio-analysis/01NRErhQZIau5ebhdXMhGs,141714.0,4.0
01NjsQ8VVcaPNZPIfzhhb1,1504,X Games - Acoustic Intro,DJ Private Ryan,The Fizzle Project,2019-12-02,False,01NjsQ8VVcaPNZPIfzhhb1,spotify:track:01NjsQ8VVcaPNZPIfzhhb1,soca,0.768,0.824,5.0,-4.254,0.0,0.068,0.159,0.0,0.145,0.361,106.052,audio_features,01NjsQ8VVcaPNZPIfzhhb1,spotify:track:01NjsQ8VVcaPNZPIfzhhb1,https://api.spotify.com/v1/tracks/01NjsQ8VVcaPNZPIfzhhb1,https://api.spotify.com/v1/audio-analysis/01NjsQ8VVcaPNZPIfzhhb1,174008.0,4.0
01Pn5QcX8QBWBtEfX2w801,303,Toy,Inspector,The Controversy Riddim - EP,2019-06-17,False,01Pn5QcX8QBWBtEfX2w801,spotify:track:01Pn5QcX8QBWBtEfX2w801,soca,0.751,0.786,10.0,-4.529,1.0,0.136,0.118,0.055,0.107,0.141,159.907,audio_features,01Pn5QcX8QBWBtEfX2w801,spotify:track:01Pn5QcX8QBWBtEfX2w801,https://api.spotify.com/v1/tracks/01Pn5QcX8QBWBtEfX2w801,https://api.spotify.com/v1/audio-analysis/01Pn5QcX8QBWBtEfX2w801,164727.0,4.0
01Q908ktVnnwLxw88EQXs0,1576,Magician (I Command You),Burning Flames,Billboard Soca III: Strictly The Hits,2000-01-01,False,01Q908ktVnnwLxw88EQXs0,spotify:track:01Q908ktVnnwLxw88EQXs0,soca,0.827,0.9,7.0,-7.065,1.0,0.094,0.134,0.0,0.35,0.915,147.989,audio_features,01Q908ktVnnwLxw88EQXs0,spotify:track:01Q908ktVnnwLxw88EQXs0,https://api.spotify.com/v1/tracks/01Q908ktVnnwLxw88EQXs0,https://api.spotify.com/v1/audio-analysis/01Q908ktVnnwLxw88EQXs0,305293.0,4.0
01ha8YwTnbXj73u21WLl3N,263,Power In Soca (Dyy Zess),Trinidad Killa,Sugar Apple Riddim,2019-11-27,False,01ha8YwTnbXj73u21WLl3N,spotify:track:01ha8YwTnbXj73u21WLl3N,soca,0.377,0.822,6.0,-6.101,1.0,0.245,0.398,0.0,0.879,0.85,191.575,audio_features,01ha8YwTnbXj73u21WLl3N,spotify:track:01ha8YwTnbXj73u21WLl3N,https://api.spotify.com/v1/tracks/01ha8YwTnbXj73u21WLl3N,https://api.spotify.com/v1/audio-analysis/01ha8YwTnbXj73u21WLl3N,152752.0,3.0
01wRcAPcvjkHqEIm73JRia,209,Leave (Kite Sa),Teddyson John,Leave (Kite Sa),2019-05-28,False,01wRcAPcvjkHqEIm73JRia,spotify:track:01wRcAPcvjkHqEIm73JRia,soca,0.84,0.932,10.0,-3.219,0.0,0.0593,0.0252,2.92e-05,0.0491,0.932,110.034,audio_features,01wRcAPcvjkHqEIm73JRia,spotify:track:01wRcAPcvjkHqEIm73JRia,https://api.spotify.com/v1/tracks/01wRcAPcvjkHqEIm73JRia,https://api.spotify.com/v1/audio-analysis/01wRcAPcvjkHqEIm73JRia,262500.0,4.0
02XBRw05pItXLGCTT8o7w5,1325,1995,Bunji Garlin,Turn Up,2017-09-01,False,02XBRw05pItXLGCTT8o7w5,spotify:track:02XBRw05pItXLGCTT8o7w5,soca,0.709,0.963,11.0,-3.434,1.0,0.0791,0.0254,0.0,0.131,0.936,139.953,audio_features,02XBRw05pItXLGCTT8o7w5,spotify:track:02XBRw05pItXLGCTT8o7w5,https://api.spotify.com/v1/tracks/02XBRw05pItXLGCTT8o7w5,https://api.spotify.com/v1/audio-analysis/02XBRw05pItXLGCTT8o7w5,229093.0,4.0
02bIxv8iMGOW6WO0oYzupG,138,Compromise,Erphaan Alves,Compromise,2018-12-19,False,02bIxv8iMGOW6WO0oYzupG,spotify:track:02bIxv8iMGOW6WO0oYzupG,soca,0.847,0.821,7.0,-5.439,1.0,0.0701,0.0454,5.5e-06,0.0611,0.78,107.98,audio_features,02bIxv8iMGOW6WO0oYzupG,spotify:track:02bIxv8iMGOW6WO0oYzupG,https://api.spotify.com/v1/tracks/02bIxv8iMGOW6WO0oYzupG,https://api.spotify.com/v1/audio-analysis/02bIxv8iMGOW6WO0oYzupG,184598.0,4.0
02ckE7XAiivAuAnBNBuLqv,1484,Stay Far,Problem Child,Problem Is a Problem,2019-04-05,False,02ckE7XAiivAuAnBNBuLqv,spotify:track:02ckE7XAiivAuAnBNBuLqv,soca,0.589,0.783,8.0,-4.774,0.0,0.0565,0.0367,0.00428,0.0706,0.647,105.857,audio_features,02ckE7XAiivAuAnBNBuLqv,spotify:track:02ckE7XAiivAuAnBNBuLqv,https://api.spotify.com/v1/tracks/02ckE7XAiivAuAnBNBuLqv,https://api.spotify.com/v1/audio-analysis/02ckE7XAiivAuAnBNBuLqv,238341.0,4.0
02tzJTwObSNSiH0bo8cYUs,864,Aye Yo,Sekon Sta,Folklore Riddim,2017-11-24,False,02tzJTwObSNSiH0bo8cYUs,spotify:track:02tzJTwObSNSiH0bo8cYUs,soca,0.823,0.933,6.0,-4.081,1.0,0.0903,0.0454,0.000124,0.342,0.396,105.019,audio_features,02tzJTwObSNSiH0bo8cYUs,spotify:track:02tzJTwObSNSiH0bo8cYUs,https://api.spotify.com/v1/tracks/02tzJTwObSNSiH0bo8cYUs,https://api.spotify.com/v1/audio-analysis/02tzJTwObSNSiH0bo8cYUs,214857.0,4.0
033ukAnbdSxZmXJaV8a9RJ,1446,Thanks For D Music,Andre Tanker,Children of the Big Bang,1996-10-25,False,033ukAnbdSxZmXJaV8a9RJ,spotify:track:033ukAnbdSxZmXJaV8a9RJ,soca,0.698,0.683,5.0,-14.743,1.0,0.0532,0.0407,0.0648,0.0448,0.942,93.499,audio_features,033ukAnbdSxZmXJaV8a9RJ,spotify:track:033ukAnbdSxZmXJaV8a9RJ,https://api.spotify.com/v1/tracks/033ukAnbdSxZmXJaV8a9RJ,https://api.spotify.com/v1/audio-analysis/033ukAnbdSxZmXJaV8a9RJ,424621.0,4.0
03A6GUvDyjrRUZSsZTZV53,601,Level Vibes,DJ Private Ryan,Road Skank Riddim - EP,2019-02-07,False,03A6GUvDyjrRUZSsZTZV53,spotify:track:03A6GUvDyjrRUZSsZTZV53,soca,0.772,0.96,7.0,-3.194,1.0,0.109,0.21,1.15e-06,0.0201,0.966,129.973,audio_features,03A6GUvDyjrRUZSsZTZV53,spotify:track:03A6GUvDyjrRUZSsZTZV53,https://api.spotify.com/v1/tracks/03A6GUvDyjrRUZSsZTZV53,https://api.spotify.com/v1/audio-analysis/03A6GUvDyjrRUZSsZTZV53,200620.0,4.0
03JNVGqnMDKBMZU0I3B9DR,896,Bachannalist,Lil Rick,Way up Project,2016-06-10,False,03JNVGqnMDKBMZU0I3B9DR,spotify:track:03JNVGqnMDKBMZU0I3B9DR,soca,0.772,0.776,10.0,-6.018,1.0,0.104,0.01,0.0,0.372,0.907,129.968,audio_features,03JNVGqnMDKBMZU0I3B9DR,spotify:track:03JNVGqnMDKBMZU0I3B9DR,https://api.spotify.com/v1/tracks/03JNVGqnMDKBMZU0I3B9DR,https://api.spotify.com/v1/audio-analysis/03JNVGqnMDKBMZU0I3B9DR,193962.0,4.0
03L6PaFnfbjSvpjyrisqwr,150,Stay Far,Problem Child,CornerRock Riddim,2019-01-11,False,03L6PaFnfbjSvpjyrisqwr,spotify:track:03L6PaFnfbjSvpjyrisqwr,soca,0.727,0.864,11.0,-2.941,1.0,0.0442,0.0597,0.00615,0.0764,0.644,105.979,audio_features,03L6PaFnfbjSvpjyrisqwr,spotify:track:03L6PaFnfbjSvpjyrisqwr,https://api.spotify.com/v1/tracks/03L6PaFnfbjSvpjyrisqwr,https://api.spotify.com/v1/audio-analysis/03L6PaFnfbjSvpjyrisqwr,239166.0,4.0
03pgb4ngDmUogm1unrXbsn,1118,Blaze in Love,Erphaan Alves,Get Soca 2019,2019-02-22,False,03pgb4ngDmUogm1unrXbsn,spotify:track:03pgb4ngDmUogm1unrXbsn,soca,0.835,0.71,6.0,-6.447,1.0,0.165,0.113,0.0,0.101,0.648,112.001,audio_features,03pgb4ngDmUogm1unrXbsn,spotify:track:03pgb4ngDmUogm1unrXbsn,https://api.spotify.com/v1/tracks/03pgb4ngDmUogm1unrXbsn,https://api.spotify.com/v1/audio-analysis/03pgb4ngDmUogm1unrXbsn,223665.0,4.0
04D8eBkdQp40VHWrtcNyKY,292,Bacchanal Party,Luni Spark & Electrify,Bacchanal Party,2019-08-09,False,04D8eBkdQp40VHWrtcNyKY,spotify:track:04D8eBkdQp40VHWrtcNyKY,soca,0.647,0.946,1.0,-3.918,1.0,0.0906,0.0371,0.0,0.322,0.9,157.944,audio_features,04D8eBkdQp40VHWrtcNyKY,spotify:track:04D8eBkdQp40VHWrtcNyKY,https://api.spotify.com/v1/tracks/04D8eBkdQp40VHWrtcNyKY,https://api.spotify.com/v1/audio-analysis/04D8eBkdQp40VHWrtcNyKY,199729.0,4.0
04DTN3hJIXJFwNHTbsrxoY,1123,Unruly Law,Popcaan,Supreme Riddim,2019-02-22,True,04DTN3hJIXJFwNHTbsrxoY,spotify:track:04DTN3hJIXJFwNHTbsrxoY,soca,0.477,0.786,5.0,-3.356,1.0,0.421,0.681,0.0,0.0861,0.646,67.564,audio_features,04DTN3hJIXJFwNHTbsrxoY,spotify:track:04DTN3hJIXJFwNHTbsrxoY,https://api.spotify.com/v1/tracks/04DTN3hJIXJFwNHTbsrxoY,https://api.spotify.com/v1/audio-analysis/04DTN3hJIXJFwNHTbsrxoY,164400.0,5.0
04V38u6iB9Qh2U3EElbtGv,634,My Heart,Lyrikal,Yard Jam Riddim,2019-04-08,False,04V38u6iB9Qh2U3EElbtGv,spotify:track:04V38u6iB9Qh2U3EElbtGv,soca,0.661,0.865,0.0,-4.455,1.0,0.0856,0.159,0.0,0.0504,0.47,109.082,audio_features,04V38u6iB9Qh2U3EElbtGv,spotify:track:04V38u6iB9Qh2U3EElbtGv,https://api.spotify.com/v1/tracks/04V38u6iB9Qh2U3EElbtGv,https://api.spotify.com/v1/audio-analysis/04V38u6iB9Qh2U3EElbtGv,165818.0,4.0
04gI9Ui6E5nm9f6Nqk400W,399,Sun Rising,Preedy,Maloney Story,2019-09-18,False,04gI9Ui6E5nm9f6Nqk400W,spotify:track:04gI9Ui6E5nm9f6Nqk400W,soca,0.516,0.817,1.0,-3.56,1.0,0.203,0.025,0.0,0.202,0.35,84.942,audio_features,04gI9Ui6E5nm9f6Nqk400W,spotify:track:04gI9Ui6E5nm9f6Nqk400W,https://api.spotify.com/v1/tracks/04gI9Ui6E5nm9f6Nqk400W,https://api.spotify.com/v1/audio-analysis/04gI9Ui6E5nm9f6Nqk400W,192000.0,4.0
04n1FdsWb4XZ0tgr2mmAR6,1440,For a Cut,Invader,Soca758 Vol. 3,2013-02-26,False,04n1FdsWb4XZ0tgr2mmAR6,spotify:track:04n1FdsWb4XZ0tgr2mmAR6,soca,0.875,0.942,6.0,-3.473,1.0,0.172,0.043,0.000146,0.134,0.962,140.006,audio_features,04n1FdsWb4XZ0tgr2mmAR6,spotify:track:04n1FdsWb4XZ0tgr2mmAR6,https://api.spotify.com/v1/tracks/04n1FdsWb4XZ0tgr2mmAR6,https://api.spotify.com/v1/audio-analysis/04n1FdsWb4XZ0tgr2mmAR6,193307.0,4.0
04nkdNd9rU3ioidLHag111,1177,Good Jook,Mical Teja,Gi Dem Riddim,2019-03-22,False,04nkdNd9rU3ioidLHag111,spotify:track:04nkdNd9rU3ioidLHag111,soca,0.897,0.781,0.0,-5.768,1.0,0.101,0.0221,5.61e-05,0.0787,0.611,126.03,audio_features,04nkdNd9rU3ioidLHag111,spotify:track:04nkdNd9rU3ioidLHag111,https://api.spotify.com/v1/tracks/04nkdNd9rU3ioidLHag111,https://api.spotify.com/v1/audio-analysis/04nkdNd9rU3ioidLHag111,160000.0,4.0
04tJ7O4c5DqFNYZVsmKnkQ,47,First Time (feat. Gbm Nutron),Jimmy October,Vacation,2017-09-13,False,04tJ7O4c5DqFNYZVsmKnkQ,spotify:track:04tJ7O4c5DqFNYZVsmKnkQ,soca,0.763,0.732,8.0,-6.02,1.0,0.0507,0.0848,1.76e-05,0.171,0.425,120.019,audio_features,04tJ7O4c5DqFNYZVsmKnkQ,spotify:track:04tJ7O4c5DqFNYZVsmKnkQ,https://api.spotify.com/v1/tracks/04tJ7O4c5DqFNYZVsmKnkQ,https://api.spotify.com/v1/audio-analysis/04tJ7O4c5DqFNYZVsmKnkQ,213458.0,4.0
05FNxlR0KDGDTTtjtg09t6,1408,Abatina Rise,Rise Ashen,Music in the City,2013-06-17,False,05FNxlR0KDGDTTtjtg09t6,spotify:track:05FNxlR0KDGDTTtjtg09t6,soca,0.671,0.699,9.0,-8.007,1.0,0.0796,0.00148,0.14,0.363,0.599,79.998,audio_features,05FNxlR0KDGDTTtjtg09t6,spotify:track:05FNxlR0KDGDTTtjtg09t6,https://api.spotify.com/v1/tracks/05FNxlR0KDGDTTtjtg09t6,https://api.spotify.com/v1/audio-analysis/05FNxlR0KDGDTTtjtg09t6,317858.0,4.0
05SmFcZtJ4yt5aZU3P5dS4,1386,Ray Tay Tay - Remix,Mya,Ray Tay Tay (Remix),2017-09-22,False,05SmFcZtJ4yt5aZU3P5dS4,spotify:track:05SmFcZtJ4yt5aZU3P5dS4,soca,0.827,0.942,7.0,-1.685,1.0,0.294,0.144,0.0,0.172,0.79,157.059,audio_features,05SmFcZtJ4yt5aZU3P5dS4,spotify:track:05SmFcZtJ4yt5aZU3P5dS4,https://api.spotify.com/v1/tracks/05SmFcZtJ4yt5aZU3P5dS4,https://api.spotify.com/v1/audio-analysis/05SmFcZtJ4yt5aZU3P5dS4,164493.0,4.0
05nT00tPjfPZYMNI51Q9yS,1488,Doh Hold Meh Back,Shradah,Gold Medal Riddim,2015-11-20,False,05nT00tPjfPZYMNI51Q9yS,spotify:track:05nT00tPjfPZYMNI51Q9yS,soca,0.778,0.882,1.0,-3.595,1.0,0.214,0.00441,3.21e-05,0.0534,0.687,124.862,audio_features,05nT00tPjfPZYMNI51Q9yS,spotify:track:05nT00tPjfPZYMNI51Q9yS,https://api.spotify.com/v1/tracks/05nT00tPjfPZYMNI51Q9yS,https://api.spotify.com/v1/audio-analysis/05nT00tPjfPZYMNI51Q9yS,218880.0,4.0
06HmVRcueknKqdxvNk2Ro0,1590,Ride Out,Orlando Octave,High Vibration Riddim,2019-01-04,False,06HmVRcueknKqdxvNk2Ro0,spotify:track:06HmVRcueknKqdxvNk2Ro0,soca,0.879,0.77,7.0,-5.851,1.0,0.0865,0.508,5.36e-06,0.0904,0.828,130.449,audio_features,06HmVRcueknKqdxvNk2Ro0,spotify:track:06HmVRcueknKqdxvNk2Ro0,https://api.spotify.com/v1/tracks/06HmVRcueknKqdxvNk2Ro0,https://api.spotify.com/v1/audio-analysis/06HmVRcueknKqdxvNk2Ro0,166390.0,4.0
06Q4fzlvvsYMCPq6TILzFJ,515,Jeune Femme (Low),Linky First,Jeune Femme (Low),2018-08-24,False,06Q4fzlvvsYMCPq6TILzFJ,spotify:track:06Q4fzlvvsYMCPq6TILzFJ,soca,0.964,0.549,1.0,-8.912,1.0,0.291,0.0176,0.0,0.076,0.387,112.995,audio_features,06Q4fzlvvsYMCPq6TILzFJ,spotify:track:06Q4fzlvvsYMCPq6TILzFJ,https://api.spotify.com/v1/tracks/06Q4fzlvvsYMCPq6TILzFJ,https://api.spotify.com/v1/audio-analysis/06Q4fzlvvsYMCPq6TILzFJ,129669.0,4.0
06mmfU6P3kvSx90RJYW4fq,1326,Whine,The Iz,Double M (Disc One),2012-03-10,False,06mmfU6P3kvSx90RJYW4fq,spotify:track:06mmfU6P3kvSx90RJYW4fq,soca,0.515,0.877,0.0,-4.219,1.0,0.258,0.0599,0.0,0.0392,0.509,119.876,audio_features,06mmfU6P3kvSx90RJYW4fq,spotify:track:06mmfU6P3kvSx90RJYW4fq,https://api.spotify.com/v1/tracks/06mmfU6P3kvSx90RJYW4fq,https://api.spotify.com/v1/audio-analysis/06mmfU6P3kvSx90RJYW4fq,208383.0,4.0
06qVmJO2dQNLP2MwGKv6Vw,1396,Promoter Troubles - POW Riddim,SHORTPREE,Promoter Troubles (POW Riddim),2017-07-14,False,06qVmJO2dQNLP2MwGKv6Vw,spotify:track:06qVmJO2dQNLP2MwGKv6Vw,soca,0.736,0.975,4.0,-4.483,0.0,0.154,0.37,2.4e-05,0.112,0.882,160.04,audio_features,06qVmJO2dQNLP2MwGKv6Vw,spotify:track:06qVmJO2dQNLP2MwGKv6Vw,https://api.spotify.com/v1/tracks/06qVmJO2dQNLP2MwGKv6Vw,https://api.spotify.com/v1/audio-analysis/06qVmJO2dQNLP2MwGKv6Vw,206935.0,4.0
06qqACoTtH2r8Fh20nIRdZ,1453,Ice Cream,Crazy,Ice Cream,2018-11-13,False,06qqACoTtH2r8Fh20nIRdZ,spotify:track:06qqACoTtH2r8Fh20nIRdZ,soca,0.76,0.789,7.0,-5.631,1.0,0.0766,0.015,4.48e-05,0.113,0.435,105.01,audio_features,06qqACoTtH2r8Fh20nIRdZ,spotify:track:06qqACoTtH2r8Fh20nIRdZ,https://api.spotify.com/v1/tracks/06qqACoTtH2r8Fh20nIRdZ,https://api.spotify.com/v1/audio-analysis/06qqACoTtH2r8Fh20nIRdZ,241196.0,4.0
07BzP18JUHrmJBjLgBdcK8,1025,Attitude,Holla Bak,Morning After Riddim,2018-06-22,False,07BzP18JUHrmJBjLgBdcK8,spotify:track:07BzP18JUHrmJBjLgBdcK8,soca,0.52,0.939,8.0,-4.471,1.0,0.0951,0.0151,0.0,0.355,0.667,129.972,audio_features,07BzP18JUHrmJBjLgBdcK8,spotify:track:07BzP18JUHrmJBjLgBdcK8,https://api.spotify.com/v1/tracks/07BzP18JUHrmJBjLgBdcK8,https://api.spotify.com/v1/audio-analysis/07BzP18JUHrmJBjLgBdcK8,210000.0,4.0
07nOmHOKvBzzYYCXixINc2,215,Jiggle It,Olatunji,Jiggle It,2019-10-15,False,07nOmHOKvBzzYYCXixINc2,spotify:track:07nOmHOKvBzzYYCXixINc2,soca,0.804,0.926,7.0,-3.586,0.0,0.0434,0.0876,1.35e-06,0.154,0.957,114.029,audio_features,07nOmHOKvBzzYYCXixINc2,spotify:track:07nOmHOKvBzzYYCXixINc2,https://api.spotify.com/v1/tracks/07nOmHOKvBzzYYCXixINc2,https://api.spotify.com/v1/audio-analysis/07nOmHOKvBzzYYCXixINc2,170526.0,4.0
07qxfQDTow6on3ZX9GPM3j,462,Free at Last,Mx Prime,Free at Last,2019-12-06,False,07qxfQDTow6on3ZX9GPM3j,spotify:track:07qxfQDTow6on3ZX9GPM3j,soca,0.568,0.876,11.0,-4.281,0.0,0.272,0.00229,0.0,0.264,0.827,143.708,audio_features,07qxfQDTow6on3ZX9GPM3j,spotify:track:07qxfQDTow6on3ZX9GPM3j,https://api.spotify.com/v1/tracks/07qxfQDTow6on3ZX9GPM3j,https://api.spotify.com/v1/audio-analysis/07qxfQDTow6on3ZX9GPM3j,206667.0,4.0
07xMBcJ7wr1PeQMvA0TVSF,162,Soakin' Wet,Linky First,Sweet Rianna Riddim,2018-11-02,True,07xMBcJ7wr1PeQMvA0TVSF,spotify:track:07xMBcJ7wr1PeQMvA0TVSF,soca,0.823,0.891,0.0,-7.286,1.0,0.0413,0.279,2.77e-06,0.241,0.755,104.001,audio_features,07xMBcJ7wr1PeQMvA0TVSF,spotify:track:07xMBcJ7wr1PeQMvA0TVSF,https://api.spotify.com/v1/tracks/07xMBcJ7wr1PeQMvA0TVSF,https://api.spotify.com/v1/audio-analysis/07xMBcJ7wr1PeQMvA0TVSF,138527.0,4.0
086QoS9XTPyBHhYhDxiJ3B,724,Cyah Bother We,Lil Rick,Soca Gold 2013,2013-05-21,False,086QoS9XTPyBHhYhDxiJ3B,spotify:track:086QoS9XTPyBHhYhDxiJ3B,soca,0.93,0.948,5.0,-2.312,1.0,0.117,0.0909,0.0,0.326,0.965,134.989,audio_features,086QoS9XTPyBHhYhDxiJ3B,spotify:track:086QoS9XTPyBHhYhDxiJ3B,https://api.spotify.com/v1/tracks/086QoS9XTPyBHhYhDxiJ3B,https://api.spotify.com/v1/audio-analysis/086QoS9XTPyBHhYhDxiJ3B,173920.0,4.0
088jHIvQHP18NVkFLR99oB,84,Doh Tell Meh Dat,Flipo,Doh Tell Meh Dat,2014-12-10,False,088jHIvQHP18NVkFLR99oB,spotify:track:088jHIvQHP18NVkFLR99oB,soca,0.771,0.807,0.0,-6.37,1.0,0.284,0.16,0.0,0.263,0.714,126.936,audio_features,088jHIvQHP18NVkFLR99oB,spotify:track:088jHIvQHP18NVkFLR99oB,https://api.spotify.com/v1/tracks/088jHIvQHP18NVkFLR99oB,https://api.spotify.com/v1/audio-analysis/088jHIvQHP18NVkFLR99oB,215905.0,4.0
08LwTCCPP2FjmDl0pttu9r,614,Blessing,Jahmoun,High Vibration Riddim,2019-01-04,False,08LwTCCPP2FjmDl0pttu9r,spotify:track:08LwTCCPP2FjmDl0pttu9r,soca,0.942,0.835,7.0,-3.719,1.0,0.111,0.448,0.0,0.0872,0.741,130.479,audio_features,08LwTCCPP2FjmDl0pttu9r,spotify:track:08LwTCCPP2FjmDl0pttu9r,https://api.spotify.com/v1/tracks/08LwTCCPP2FjmDl0pttu9r,https://api.spotify.com/v1/audio-analysis/08LwTCCPP2FjmDl0pttu9r,194625.0,4.0
08ND2JtYF9PtJIbSg1iCnG,104,Badmind,Shanta Prince,Fox Fuse Presents: Crop Over Soca 2015,2015-09-25,False,08ND2JtYF9PtJIbSg1iCnG,spotify:track:08ND2JtYF9PtJIbSg1iCnG,soca,0.859,0.871,0.0,-5.031,1.0,0.0512,0.0889,0.0,0.0385,0.842,125.993,audio_features,08ND2JtYF9PtJIbSg1iCnG,spotify:track:08ND2JtYF9PtJIbSg1iCnG,https://api.spotify.com/v1/tracks/08ND2JtYF9PtJIbSg1iCnG,https://api.spotify.com/v1/audio-analysis/08ND2JtYF9PtJIbSg1iCnG,177194.0,4.0
08Pu1gADOx91wguEpLIj9f,1464,Worthless,Smallz,Earthquake Riddim,2018-02-02,False,08Pu1gADOx91wguEpLIj9f,spotify:track:08Pu1gADOx91wguEpLIj9f,soca,0.777,0.703,3.0,-6.348,0.0,0.356,0.218,0.0,0.433,0.965,158.056,audio_features,08Pu1gADOx91wguEpLIj9f,spotify:track:08Pu1gADOx91wguEpLIj9f,https://api.spotify.com/v1/tracks/08Pu1gADOx91wguEpLIj9f,https://api.spotify.com/v1/audio-analysis/08Pu1gADOx91wguEpLIj9f,189179.0,4.0
08XmYYeHCtAznugmzewnhB,1262,Print Out,Loose Cannon,Jab Fete Riddim,2019-06-28,False,08XmYYeHCtAznugmzewnhB,spotify:track:08XmYYeHCtAznugmzewnhB,soca,0.853,0.868,1.0,-2.92,1.0,0.101,0.282,0.0,0.311,0.842,126.983,audio_features,08XmYYeHCtAznugmzewnhB,spotify:track:08XmYYeHCtAznugmzewnhB,https://api.spotify.com/v1/tracks/08XmYYeHCtAznugmzewnhB,https://api.spotify.com/v1/audio-analysis/08XmYYeHCtAznugmzewnhB,124029.0,4.0
08lgWicI1YHRvuUSvIDFq0,180,Doh Bother We,LFS Music,Doh Bother We,2018-11-20,False,08lgWicI1YHRvuUSvIDFq0,spotify:track:08lgWicI1YHRvuUSvIDFq0,soca,0.786,0.944,11.0,-3.705,1.0,0.113,0.121,0.0,0.0802,0.315,128.061,audio_features,08lgWicI1YHRvuUSvIDFq0,spotify:track:08lgWicI1YHRvuUSvIDFq0,https://api.spotify.com/v1/tracks/08lgWicI1YHRvuUSvIDFq0,https://api.spotify.com/v1/audio-analysis/08lgWicI1YHRvuUSvIDFq0,200091.0,4.0
09G6SScG49yWYtugcqPeN9,41,R.A.W. (Rum and Woman) - Dutty Joker Riddim,GBM Nutron,R.A.W. (Rum and Woman) [Dutty Joker Riddim],2018-01-12,False,09G6SScG49yWYtugcqPeN9,spotify:track:09G6SScG49yWYtugcqPeN9,soca,0.826,0.895,1.0,-4.925,1.0,0.0669,0.17,0.0,0.0903,0.612,139.984,audio_features,09G6SScG49yWYtugcqPeN9,spotify:track:09G6SScG49yWYtugcqPeN9,https://api.spotify.com/v1/tracks/09G6SScG49yWYtugcqPeN9,https://api.spotify.com/v1/audio-analysis/09G6SScG49yWYtugcqPeN9,161133.0,4.0
09JBQIeW6Zq1vImfh9n22S,1724,Come From?,Precision Productions,"We Muzik, Vol. 6: Trinidad and Tobago Carnival Soca 2015",2015-02-02,False,09JBQIeW6Zq1vImfh9n22S,spotify:track:09JBQIeW6Zq1vImfh9n22S,soca,0.713,0.805,0.0,-6.268,1.0,0.143,0.213,1.08e-06,0.064,0.814,97.51,audio_features,09JBQIeW6Zq1vImfh9n22S,spotify:track:09JBQIeW6Zq1vImfh9n22S,https://api.spotify.com/v1/tracks/09JBQIeW6Zq1vImfh9n22S,https://api.spotify.com/v1/audio-analysis/09JBQIeW6Zq1vImfh9n22S,195987.0,3.0
