acousticness,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_id,valence,year
0.0204,0.8,189613.0,0.6609999999999999,0,1,0.000107,7,0.0687,-8.291,1,0.0304,92.015,2,0BweE3lWBMXRPWWLtLV5z8,0.59,2014
0.0204,0.8,189613.0,0.6609999999999999,0,1,0.000107,7,0.0687,-8.291,1,0.0304,92.015,2,0BweE3lWBMXRPWWLtLV5z8,0.59,2014
0.0204,0.8,189613.0,0.6609999999999999,0,1,0.000107,7,0.0687,-8.291,1,0.0304,92.015,2,0BweE3lWBMXRPWWLtLV5z8,0.59,2014
0.0204,0.8,189613.0,0.6609999999999999,0,1,0.000107,7,0.0687,-8.291,1,0.0304,92.015,2,0BweE3lWBMXRPWWLtLV5z8,0.59,2014
0.0204,0.8,189613.0,0.6609999999999999,0,1,0.000107,7,0.0687,-8.291,1,0.0304,92.015,2,0BweE3lWBMXRPWWLtLV5z8,0.59,2014
0.0204,0.8,189613.0,0.6609999999999999,0,1,0.000107,7,0.0687,-8.291,1,0.0304,92.015,2,0BweE3lWBMXRPWWLtLV5z8,0.59,2014
0.00742,0.8909999999999999,255587.0,0.6920000000000001,0,1,8.94e-05,2,0.321,-8.49,1,0.133,96.431,2,0CE6bK2FLHwelRZRSjrfYu,0.856,2005
0.069,0.722,184181.0,0.6629999999999999,0,1,0.0,0,0.125,-4.8439999999999985,1,0.0683,81.993,2,0ClyovV5gcIyCXx3jS6JBK,0.5660000000000001,2018
0.264,0.64,228933.0,0.443,0,1,1.73e-06,4,0.0453,-12.455,0,0.115,137.395,2,0EDa4kZPlqmfRFyPgyIQiG,0.6920000000000001,1978
0.00371,0.65,178293.0,0.6970000000000001,0,1,0.0,0,0.391,-5.814,1,0.276,78.265,2,0EF9jh7TFBoaEbRpxA1DBq,0.6679999999999999,2002
0.258,0.917,339267.0,0.745,0,1,2.39e-05,7,0.382,-4.424,0,0.18600000000000005,142.001,2,0EKV1DjXLl9rpTCns8Kgsc,0.935,2009
0.623,0.917,161173.0,0.454,0,1,0.000188,8,0.21600000000000005,-8.823,1,0.0467,97.163,2,0EW5ryHx7alhsP5vno2WVy,0.919,1972
0.568,0.775,248240.0,0.45,0,1,0.00855,5,0.153,-9.384,1,0.0412,132.083,2,0EeFF8Ft9Oz4euZhkEUs17,0.8240000000000001,2007
0.0205,0.7659999999999999,282947.0,0.581,0,1,0.0,6,0.0641,-9.678,0,0.192,148.092,2,0EepcQxrVxvtmasZwk22vU,0.8740000000000001,1981
0.145,0.898,193776.0,0.746,0,1,0.00361,8,0.145,-2.689,1,0.136,146.002,2,0EsdmkEvgyX0FiRq0lRUKZ,0.713,2017
0.545,0.958,147600.0,0.4920000000000001,0,1,0.922,0,0.104,-6.046,0,0.109,120.784,2,0EwIa2bw4D5WNQQjqVQS9u,0.965,2013
0.195,0.733,220370.0,0.407,0,1,0.00162,0,0.117,-11.422,1,0.0769,164.702,2,0EzUwWnAPPtpEMoDB8zpCl,0.936,2011
0.0211,0.936,152880.0,0.414,0,1,0.453,9,0.11,-8.942,0,0.0791,107.438,2,0FXJkC3XA6UOyvti331jQw,0.899,2008
0.345,0.7829999999999999,212160.0,0.581,0,1,2.08e-05,5,0.0953,-6.694,0,0.168,144.873,2,0FcwTKNR8eKGzhUFjAZCjK,0.723,2000
0.225,0.847,202120.0,0.7190000000000001,0,1,6.65e-06,3,0.109,-5.877999999999999,0,0.0405,139.126,2,0FgrTDmwXCORtgdyakTkzO,0.9,2015
0.103,0.639,309093.0,0.639,0,1,0.00177,1,0.108,-7.91,1,0.0403,133.95,2,0GFx1o6CfdQFtsDelzguua,0.573,2016
0.0585,0.825,200960.0,0.433,0,1,0.0,5,0.0618,-13.085,0,0.337,127.686,2,0GGPUysb8GpCG76dQH63te,0.687,1990
0.0585,0.825,200960.0,0.433,0,1,0.0,5,0.0618,-13.085,0,0.337,127.686,2,0GGPUysb8GpCG76dQH63te,0.687,1990
0.0585,0.825,200960.0,0.433,0,1,0.0,5,0.0618,-13.085,0,0.337,127.686,2,0GGPUysb8GpCG76dQH63te,0.687,1990
0.0585,0.825,200960.0,0.433,0,1,0.0,5,0.0618,-13.085,0,0.337,127.686,2,0GGPUysb8GpCG76dQH63te,0.687,1990
0.0526,0.691,218360.0,0.723,0,1,0.3670000000000001,6,0.254,-10.952,1,0.046,77.835,2,0GVLgoZU2g0XBy2ZmUaxTa,0.967,2007
0.205,0.7559999999999999,219133.0,0.546,0,1,0.0,9,0.329,-9.359,1,0.161,75.354,2,0GmOHn2XofRigQ4Eaqu6jQ,0.949,1979
0.0125,0.71,261093.0,0.696,0,1,0.0,7,0.294,-5.26,1,0.154,86.679,2,0GoVXooqY92kQtaNOdCu8H,0.388,2016
0.0241,0.7879999999999999,204933.0,0.281,0,1,3.18e-06,6,0.282,-14.737,0,0.136,140.489,2,0H5tHbVIrKH2vw9mAYVTIm,0.6629999999999999,1999
0.276,0.789,233027.0,0.591,0,1,2.08e-06,6,0.444,-8.185,0,0.043,96.057,2,0HCORF1wVYhM1O5Jg1Hz1C,0.8590000000000001,2007
0.0122,0.8109999999999999,277893.0,0.428,0,1,0.317,7,0.344,-10.728,1,0.221,80.962,2,0INtJm8gCJKtNaAYQNVlpZ,0.653,1994
0.0122,0.8109999999999999,277893.0,0.428,0,1,0.317,7,0.344,-10.728,1,0.221,80.962,2,0INtJm8gCJKtNaAYQNVlpZ,0.653,1994
0.0122,0.8109999999999999,277893.0,0.428,0,1,0.317,7,0.344,-10.728,1,0.221,80.962,2,0INtJm8gCJKtNaAYQNVlpZ,0.653,1994
