,track_id,track_name,track_uri,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1152,4DSuKYsf7TNPcC3Qq5ALXK,Sweet Reggae Music,spotify:track:4DSuKYsf7TNPcC3Qq5ALXK,Sweet Reggae Music - Single,0.66,0.664,7,-7.406,1,0.328,0.0767,0.0,0.102,0.55,81.897,audio_features,4DSuKYsf7TNPcC3Qq5ALXK,spotify:track:4DSuKYsf7TNPcC3Qq5ALXK,https://api.spotify.com/v1/tracks/4DSuKYsf7TNPcC3Qq5ALXK,https://api.spotify.com/v1/audio-analysis/4DSuKYsf7TNPcC3Qq5ALXK,201404,4
1153,1LsiaqcGKdmI6TiGmqJWJk,Can't Hold Me Down,spotify:track:1LsiaqcGKdmI6TiGmqJWJk,Street Soul Riddim Selection,0.599,0.682,0,-5.628,1,0.178,0.073,0.0,0.227,0.754,78.22,audio_features,1LsiaqcGKdmI6TiGmqJWJk,spotify:track:1LsiaqcGKdmI6TiGmqJWJk,https://api.spotify.com/v1/tracks/1LsiaqcGKdmI6TiGmqJWJk,https://api.spotify.com/v1/audio-analysis/1LsiaqcGKdmI6TiGmqJWJk,203423,4
1154,0RNCpjyDQMJUFtxUeUDjRb,Baltimore,spotify:track:0RNCpjyDQMJUFtxUeUDjRb,Sly & Robbie Present More Baltimore,0.645,0.449,2,-12.095,1,0.128,0.124,0.00235,0.114,0.751,80.832,audio_features,0RNCpjyDQMJUFtxUeUDjRb,spotify:track:0RNCpjyDQMJUFtxUeUDjRb,https://api.spotify.com/v1/tracks/0RNCpjyDQMJUFtxUeUDjRb,https://api.spotify.com/v1/audio-analysis/0RNCpjyDQMJUFtxUeUDjRb,277440,4
1155,5y5QFtXNLXVKbuFI9iAGFl,Last Christmas,spotify:track:5y5QFtXNLXVKbuFI9iAGFl,Sly & Robbie present Taxi Christmas,0.847,0.532,11,-15.812,0,0.0391,0.168,0.703,0.0731,0.967,109.051,audio_features,5y5QFtXNLXVKbuFI9iAGFl,spotify:track:5y5QFtXNLXVKbuFI9iAGFl,https://api.spotify.com/v1/tracks/5y5QFtXNLXVKbuFI9iAGFl,https://api.spotify.com/v1/audio-analysis/5y5QFtXNLXVKbuFI9iAGFl,233627,4
1156,2KnpVIbSPdfFt1AKVPJ6nW,My Mind,spotify:track:2KnpVIbSPdfFt1AKVPJ6nW,Africa Must Be Free By 1983,0.818,0.418,4,-9.336,0,0.2,0.0321,1.56e-05,0.0736,0.609,148.588,audio_features,2KnpVIbSPdfFt1AKVPJ6nW,spotify:track:2KnpVIbSPdfFt1AKVPJ6nW,https://api.spotify.com/v1/tracks/2KnpVIbSPdfFt1AKVPJ6nW,https://api.spotify.com/v1/audio-analysis/2KnpVIbSPdfFt1AKVPJ6nW,216280,4
1157,3LEre9p18tm6orlPSupVgD,Africa Must Be Free By 1983,spotify:track:3LEre9p18tm6orlPSupVgD,Africa Must Be Free By 1983,0.759,0.402,8,-11.008,1,0.235,0.0159,1.38e-05,0.13,0.632,75.071,audio_features,3LEre9p18tm6orlPSupVgD,spotify:track:3LEre9p18tm6orlPSupVgD,https://api.spotify.com/v1/tracks/3LEre9p18tm6orlPSupVgD,https://api.spotify.com/v1/audio-analysis/3LEre9p18tm6orlPSupVgD,148427,4
1158,3uEJT5nC94FT7wYu4RgR8K,Far East,spotify:track:3uEJT5nC94FT7wYu4RgR8K,Reggae Anthology: The Channel One Story,0.808,0.518,7,-5.987,1,0.0642,0.00221,0.359,0.0548,0.269,131.641,audio_features,3uEJT5nC94FT7wYu4RgR8K,spotify:track:3uEJT5nC94FT7wYu4RgR8K,https://api.spotify.com/v1/tracks/3uEJT5nC94FT7wYu4RgR8K,https://api.spotify.com/v1/audio-analysis/3uEJT5nC94FT7wYu4RgR8K,178427,4
1159,0AMJjizLUQlsYQ0noIv8No,Things in Life,spotify:track:0AMJjizLUQlsYQ0noIv8No,Legend,0.896,0.19,9,-22.44,1,0.156,0.0265,0.00468,0.183,0.812,130.896,audio_features,0AMJjizLUQlsYQ0noIv8No,spotify:track:0AMJjizLUQlsYQ0noIv8No,https://api.spotify.com/v1/tracks/0AMJjizLUQlsYQ0noIv8No,https://api.spotify.com/v1/audio-analysis/0AMJjizLUQlsYQ0noIv8No,244600,4
1160,4SeSBHW3My7RdB4UW0h1m9,"Girl, I Wanna Lay You Down",spotify:track:4SeSBHW3My7RdB4UW0h1m9,Fly Between Falls,0.815,0.412,0,-9.28,1,0.0438,0.362,0.00048,0.129,0.669,87.983,audio_features,4SeSBHW3My7RdB4UW0h1m9,spotify:track:4SeSBHW3My7RdB4UW0h1m9,https://api.spotify.com/v1/tracks/4SeSBHW3My7RdB4UW0h1m9,https://api.spotify.com/v1/audio-analysis/4SeSBHW3My7RdB4UW0h1m9,218973,4
1161,3BTjSas8phpsT63ELSCg3K,Cowboys And Chorus Girls,spotify:track:3BTjSas8phpsT63ELSCg3K,Sounds Like This,0.673,0.712,7,-8.678,1,0.0678,0.258,0.248,0.125,0.338,115.035,audio_features,3BTjSas8phpsT63ELSCg3K,spotify:track:3BTjSas8phpsT63ELSCg3K,https://api.spotify.com/v1/tracks/3BTjSas8phpsT63ELSCg3K,https://api.spotify.com/v1/audio-analysis/3BTjSas8phpsT63ELSCg3K,465147,4
