,track_name,artist,album,release_date,explicit,track_id,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
81,Sympathetic Vibrations,Bad Sounds,Sympathetic Vibrations,2019-11-05,False,52PqmYvIYundQNIUKWpwIi,spotify:track:52PqmYvIYundQNIUKWpwIi,0.725,0.873,5,-6.15,0,0.0429,0.431,0.429,0.325,0.821,112.012,audio_features,52PqmYvIYundQNIUKWpwIi,spotify:track:52PqmYvIYundQNIUKWpwIi,https://api.spotify.com/v1/tracks/52PqmYvIYundQNIUKWpwIi,https://api.spotify.com/v1/audio-analysis/52PqmYvIYundQNIUKWpwIi,216720,4
82,4ÆM,Grimes,4ÆM,2019-12-13,False,0cAGNiWXRAXX1QKn3Ssbzd,spotify:track:0cAGNiWXRAXX1QKn3Ssbzd,0.482,0.905,7,-4.371,0,0.0419,0.00971,0.295,0.288,0.116,93.019,audio_features,0cAGNiWXRAXX1QKn3Ssbzd,spotify:track:0cAGNiWXRAXX1QKn3Ssbzd,https://api.spotify.com/v1/tracks/0cAGNiWXRAXX1QKn3Ssbzd,https://api.spotify.com/v1/audio-analysis/0cAGNiWXRAXX1QKn3Ssbzd,270983,4
83,Wistful (Fata Morgana),Baths,Wistful (Fata Morgana),2019-11-13,False,3UphNNF8Q6BmOLuk80Abc5,spotify:track:3UphNNF8Q6BmOLuk80Abc5,0.548,0.776,1,-10.969,1,0.041,0.176,0.845,0.109,0.374,151.167,audio_features,3UphNNF8Q6BmOLuk80Abc5,spotify:track:3UphNNF8Q6BmOLuk80Abc5,https://api.spotify.com/v1/tracks/3UphNNF8Q6BmOLuk80Abc5,https://api.spotify.com/v1/audio-analysis/3UphNNF8Q6BmOLuk80Abc5,188183,4
84,Under The Skyline,Pirra,Under The Skyline,2019-11-29,False,2bT5nutrUD0rGDWFOKRIUy,spotify:track:2bT5nutrUD0rGDWFOKRIUy,0.605,0.635,2,-7.929,0,0.0273,0.0046,0.106,0.123,0.33,119.996,audio_features,2bT5nutrUD0rGDWFOKRIUy,spotify:track:2bT5nutrUD0rGDWFOKRIUy,https://api.spotify.com/v1/tracks/2bT5nutrUD0rGDWFOKRIUy,https://api.spotify.com/v1/audio-analysis/2bT5nutrUD0rGDWFOKRIUy,220227,4
85,Never Let You Go,Georgia,Never Let You Go,2019-09-19,False,6H15f8zwZSiFE1iseSvkLT,spotify:track:6H15f8zwZSiFE1iseSvkLT,0.573,0.894,0,-4.77,0,0.0385,0.00589,0.00151,0.323,0.641,155.039,audio_features,6H15f8zwZSiFE1iseSvkLT,spotify:track:6H15f8zwZSiFE1iseSvkLT,https://api.spotify.com/v1/tracks/6H15f8zwZSiFE1iseSvkLT,https://api.spotify.com/v1/audio-analysis/6H15f8zwZSiFE1iseSvkLT,227381,4
86,It Might Be Time,Tame Impala,It Might Be Time,2019-10-28,False,2P0NiuAfypaw5UZJoo0n0o,spotify:track:2P0NiuAfypaw5UZJoo0n0o,0.585,0.799,2,-3.825,1,0.0459,0.0204,0.000209,0.631,0.345,115.973,audio_features,2P0NiuAfypaw5UZJoo0n0o,spotify:track:2P0NiuAfypaw5UZJoo0n0o,https://api.spotify.com/v1/tracks/2P0NiuAfypaw5UZJoo0n0o,https://api.spotify.com/v1/audio-analysis/2P0NiuAfypaw5UZJoo0n0o,273013,4
87,Terra Firma,Franc Moody,Terra Firma,2019-10-09,False,6y0cJFHfwfLBiAYKC9Rkeo,spotify:track:6y0cJFHfwfLBiAYKC9Rkeo,0.737,0.909,6,-5.077,0,0.0532,0.0365,0.567,0.845,0.807,117.021,audio_features,6y0cJFHfwfLBiAYKC9Rkeo,spotify:track:6y0cJFHfwfLBiAYKC9Rkeo,https://api.spotify.com/v1/tracks/6y0cJFHfwfLBiAYKC9Rkeo,https://api.spotify.com/v1/audio-analysis/6y0cJFHfwfLBiAYKC9Rkeo,307881,4
88,Run The Wild Flowers,Friendly Fires,Run The Wild Flowers,2019-07-25,False,3V1kaUcf9rjjiYSUHowmbK,spotify:track:3V1kaUcf9rjjiYSUHowmbK,0.689,0.801,0,-4.392,0,0.0598,0.102,0.06,0.0752,0.706,127.019,audio_features,3V1kaUcf9rjjiYSUHowmbK,spotify:track:3V1kaUcf9rjjiYSUHowmbK,https://api.spotify.com/v1/tracks/3V1kaUcf9rjjiYSUHowmbK,https://api.spotify.com/v1/audio-analysis/3V1kaUcf9rjjiYSUHowmbK,273333,4
89,COLD,The fin.,COLD,2019-10-18,False,7IWCZoqf3wtGFq6GAwKMHE,spotify:track:7IWCZoqf3wtGFq6GAwKMHE,0.458,0.526,8,-9.498,0,0.0332,0.0084,0.624,0.142,0.18,110.925,audio_features,7IWCZoqf3wtGFq6GAwKMHE,spotify:track:7IWCZoqf3wtGFq6GAwKMHE,https://api.spotify.com/v1/tracks/7IWCZoqf3wtGFq6GAwKMHE,https://api.spotify.com/v1/audio-analysis/7IWCZoqf3wtGFq6GAwKMHE,320580,4
90,Guitar Anthem,Prospa,Guitar Anthem,2019-08-16,False,6R8AuRxbD9TZEZ3YuiUQW9,spotify:track:6R8AuRxbD9TZEZ3YuiUQW9,0.82,0.846,9,-6.396,0,0.092,0.147,0.00123,0.0461,0.856,123.025,audio_features,6R8AuRxbD9TZEZ3YuiUQW9,spotify:track:6R8AuRxbD9TZEZ3YuiUQW9,https://api.spotify.com/v1/tracks/6R8AuRxbD9TZEZ3YuiUQW9,https://api.spotify.com/v1/audio-analysis/6R8AuRxbD9TZEZ3YuiUQW9,212073,4
91,Whitsand Bay,Metronomy,Metronomy Forever,2019-09-13,False,3MqNmLeDEdrHeNUAtujA0g,spotify:track:3MqNmLeDEdrHeNUAtujA0g,0.813,0.513,1,-12.074,1,0.137,0.257,0.181,0.153,0.648,147.44,audio_features,3MqNmLeDEdrHeNUAtujA0g,spotify:track:3MqNmLeDEdrHeNUAtujA0g,https://api.spotify.com/v1/tracks/3MqNmLeDEdrHeNUAtujA0g,https://api.spotify.com/v1/audio-analysis/3MqNmLeDEdrHeNUAtujA0g,230560,4
92,Starry Night - Edit,Peggy Gou,Starry Night,2019-03-22,False,2NeSirLM2VHQW4upn0nMfB,spotify:track:2NeSirLM2VHQW4upn0nMfB,0.747,0.865,8,-8.094,0,0.0351,0.00915,0.486,0.0425,0.935,122.994,audio_features,2NeSirLM2VHQW4upn0nMfB,spotify:track:2NeSirLM2VHQW4upn0nMfB,https://api.spotify.com/v1/tracks/2NeSirLM2VHQW4upn0nMfB,https://api.spotify.com/v1/audio-analysis/2NeSirLM2VHQW4upn0nMfB,233979,4
93,Benton Way,Jimi Somewhere,Benton Way / Backseat,2019-12-13,True,3oqWLWCwo8LMbmA2TYtBow,spotify:track:3oqWLWCwo8LMbmA2TYtBow,0.573,0.348,5,-9.838,1,0.031,0.152,0.0125,0.102,0.155,105.034,audio_features,3oqWLWCwo8LMbmA2TYtBow,spotify:track:3oqWLWCwo8LMbmA2TYtBow,https://api.spotify.com/v1/tracks/3oqWLWCwo8LMbmA2TYtBow,https://api.spotify.com/v1/audio-analysis/3oqWLWCwo8LMbmA2TYtBow,215970,4
94,Calling It,Automatic,Calling It,2019-06-03,False,1V4GgaXzuPn4lOWtx33crz,spotify:track:1V4GgaXzuPn4lOWtx33crz,0.7,0.742,1,-5.388,0,0.0365,0.00111,0.272,0.237,0.609,119.165,audio_features,1V4GgaXzuPn4lOWtx33crz,spotify:track:1V4GgaXzuPn4lOWtx33crz,https://api.spotify.com/v1/tracks/1V4GgaXzuPn4lOWtx33crz,https://api.spotify.com/v1/audio-analysis/1V4GgaXzuPn4lOWtx33crz,149666,4
