,track_id,track_name,track_uri,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
230,54cMaPPTAoC57ZgnMTJKHM,Handsworth Revolution,spotify:track:54cMaPPTAoC57ZgnMTJKHM,Reggae Greats,0.913,0.427,10.0,-15.221,1.0,0.114,0.0275,1.66e-06,0.0767,0.804,118.028,audio_features,54cMaPPTAoC57ZgnMTJKHM,spotify:track:54cMaPPTAoC57ZgnMTJKHM,https://api.spotify.com/v1/tracks/54cMaPPTAoC57ZgnMTJKHM,https://api.spotify.com/v1/audio-analysis/54cMaPPTAoC57ZgnMTJKHM,322000.0,4.0
231,6PbtTwGUPPbnT7nRTA1gS3,Your House,spotify:track:6PbtTwGUPPbnT7nRTA1gS3,True Democracy,0.707,0.716,10.0,-8.962,0.0,0.0879,0.057,4.25e-06,0.36,0.966,154.118,audio_features,6PbtTwGUPPbnT7nRTA1gS3,spotify:track:6PbtTwGUPPbnT7nRTA1gS3,https://api.spotify.com/v1/tracks/6PbtTwGUPPbnT7nRTA1gS3,https://api.spotify.com/v1/audio-analysis/6PbtTwGUPPbnT7nRTA1gS3,222600.0,4.0
232,1haHZa75ytryLGUOtHiGl5,Dream Land,spotify:track:1haHZa75ytryLGUOtHiGl5,Blackheart Man,0.767,0.49,6.0,-13.04,1.0,0.3,0.356,0.00786,0.046,0.958,72.845,audio_features,1haHZa75ytryLGUOtHiGl5,spotify:track:1haHZa75ytryLGUOtHiGl5,https://api.spotify.com/v1/tracks/1haHZa75ytryLGUOtHiGl5,https://api.spotify.com/v1/audio-analysis/1haHZa75ytryLGUOtHiGl5,165893.0,4.0
233,6r9KZ2g5dXZXXLF6vOHnet,Mellow Mood,spotify:track:6r9KZ2g5dXZXXLF6vOHnet,Bunny Wailer Sings The Wailers,0.73,0.561,0.0,-12.851,1.0,0.203,0.0361,0.0473,0.0493,0.691,80.892,audio_features,6r9KZ2g5dXZXXLF6vOHnet,spotify:track:6r9KZ2g5dXZXXLF6vOHnet,https://api.spotify.com/v1/tracks/6r9KZ2g5dXZXXLF6vOHnet,https://api.spotify.com/v1/audio-analysis/6r9KZ2g5dXZXXLF6vOHnet,231733.0,4.0
234,0dO79bdqpF4yl3Hpms8Eu7,Cool and Calm,spotify:track:0dO79bdqpF4yl3Hpms8Eu7,Strength of My Life,0.795,0.415,0.0,-10.466,1.0,0.153,0.127,8.76e-06,0.0669,0.821,76.28,audio_features,0dO79bdqpF4yl3Hpms8Eu7,spotify:track:0dO79bdqpF4yl3Hpms8Eu7,https://api.spotify.com/v1/tracks/0dO79bdqpF4yl3Hpms8Eu7,https://api.spotify.com/v1/audio-analysis/0dO79bdqpF4yl3Hpms8Eu7,265880.0,4.0
235,0be2eJI8vEjGnEKia2sZvr,The Same Song,spotify:track:0be2eJI8vEjGnEKia2sZvr,Falling Angels,0.924,0.382,1.0,-12.131,1.0,0.422,0.0284,0.00117,0.0361,0.683,123.006,audio_features,0be2eJI8vEjGnEKia2sZvr,spotify:track:0be2eJI8vEjGnEKia2sZvr,https://api.spotify.com/v1/tracks/0be2eJI8vEjGnEKia2sZvr,https://api.spotify.com/v1/audio-analysis/0be2eJI8vEjGnEKia2sZvr,239630.0,4.0
236,0GGPUysb8GpCG76dQH63te,The International Herb,spotify:track:0GGPUysb8GpCG76dQH63te,Too Long In Slavery,0.825,0.433,5.0,-13.085,0.0,0.337,0.0585,0.0,0.0618,0.687,127.686,audio_features,0GGPUysb8GpCG76dQH63te,spotify:track:0GGPUysb8GpCG76dQH63te,https://api.spotify.com/v1/tracks/0GGPUysb8GpCG76dQH63te,https://api.spotify.com/v1/audio-analysis/0GGPUysb8GpCG76dQH63te,200960.0,4.0
237,41r3Hd6pRHg4YKA6cACcDQ,Why Am I A Rastaman?,spotify:track:41r3Hd6pRHg4YKA6cACcDQ,Humble African,0.787,0.591,11.0,-4.075,1.0,0.0875,0.173,0.0,0.0236,0.707,81.025,audio_features,41r3Hd6pRHg4YKA6cACcDQ,spotify:track:41r3Hd6pRHg4YKA6cACcDQ,https://api.spotify.com/v1/tracks/41r3Hd6pRHg4YKA6cACcDQ,https://api.spotify.com/v1/audio-analysis/41r3Hd6pRHg4YKA6cACcDQ,253400.0,4.0
238,5a251qN4R86hro8UZGuO4E,The Streets - Re-Twist,spotify:track:5a251qN4R86hro8UZGuO4E,Ghetto Heisman,0.92,0.811,4.0,-2.892,0.0,0.117,0.159,0.0026,0.0935,0.602,97.117,audio_features,5a251qN4R86hro8UZGuO4E,spotify:track:5a251qN4R86hro8UZGuO4E,https://api.spotify.com/v1/tracks/5a251qN4R86hro8UZGuO4E,https://api.spotify.com/v1/audio-analysis/5a251qN4R86hro8UZGuO4E,227867.0,4.0
239,693xGvqOaeuxur7BKCznpO,Stay Out The Way (feat. Snoop Dogg),spotify:track:693xGvqOaeuxur7BKCznpO,West Coast Gangsta Sh*t,0.814,0.886,1.0,-3.48,1.0,0.283,0.241,0.0,0.103,0.79,90.014,audio_features,693xGvqOaeuxur7BKCznpO,spotify:track:693xGvqOaeuxur7BKCznpO,https://api.spotify.com/v1/tracks/693xGvqOaeuxur7BKCznpO,https://api.spotify.com/v1/audio-analysis/693xGvqOaeuxur7BKCznpO,218667.0,4.0
240,2rwmKpWW6o6anOhvcyiJOw,Nothin' But The Cavi Hit,spotify:track:2rwmKpWW6o6anOhvcyiJOw,Best Of Mack 10,0.852,0.741,1.0,-5.435,0.0,0.135,0.0247,0.00106,0.0974,0.534,97.894,audio_features,2rwmKpWW6o6anOhvcyiJOw,spotify:track:2rwmKpWW6o6anOhvcyiJOw,https://api.spotify.com/v1/tracks/2rwmKpWW6o6anOhvcyiJOw,https://api.spotify.com/v1/audio-analysis/2rwmKpWW6o6anOhvcyiJOw,241360.0,4.0
241,0Bbd5inN2znpGQkxZbqmmU,Backyard Boogie,spotify:track:0Bbd5inN2znpGQkxZbqmmU,Based On A True Story,0.853,0.603,1.0,-7.85,1.0,0.226,0.14,0.0,0.0783,0.546,95.936,audio_features,0Bbd5inN2znpGQkxZbqmmU,spotify:track:0Bbd5inN2znpGQkxZbqmmU,https://api.spotify.com/v1/tracks/0Bbd5inN2znpGQkxZbqmmU,https://api.spotify.com/v1/audio-analysis/0Bbd5inN2znpGQkxZbqmmU,259181.0,4.0
242,5JUcFTvDLN67VthAQlLQFe,Full Speed,spotify:track:5JUcFTvDLN67VthAQlLQFe,Mike Pinto,0.606,0.544,0.0,-6.931,1.0,0.0796,0.207,1.96e-05,0.106,0.801,93.021,audio_features,5JUcFTvDLN67VthAQlLQFe,spotify:track:5JUcFTvDLN67VthAQlLQFe,https://api.spotify.com/v1/tracks/5JUcFTvDLN67VthAQlLQFe,https://api.spotify.com/v1/audio-analysis/5JUcFTvDLN67VthAQlLQFe,244027.0,4.0
243,7f5QxL6CBzK5Zmm7Bqwd0g,Crooks,spotify:track:7f5QxL6CBzK5Zmm7Bqwd0g,Hotel Rendezvous,0.747,0.492,7.0,-5.859,0.0,0.0292,0.467,1.73e-05,0.109,0.425,102.007,audio_features,7f5QxL6CBzK5Zmm7Bqwd0g,spotify:track:7f5QxL6CBzK5Zmm7Bqwd0g,https://api.spotify.com/v1/tracks/7f5QxL6CBzK5Zmm7Bqwd0g,https://api.spotify.com/v1/audio-analysis/7f5QxL6CBzK5Zmm7Bqwd0g,313693.0,4.0
244,0gDJgCoxaQ2PY7lzG2Z101,Land Down Under,spotify:track:0gDJgCoxaQ2PY7lzG2Z101,Souvenirs Novelties and Party Tricks,0.647,0.758,11.0,-7.4,0.0,0.0285,0.104,0.000152,0.0709,0.816,101.032,audio_features,0gDJgCoxaQ2PY7lzG2Z101,spotify:track:0gDJgCoxaQ2PY7lzG2Z101,https://api.spotify.com/v1/tracks/0gDJgCoxaQ2PY7lzG2Z101,https://api.spotify.com/v1/audio-analysis/0gDJgCoxaQ2PY7lzG2Z101,229333.0,4.0
245,0SPNmYKYyH8JFwLpbDYGDw,Innocent Man,spotify:track:0SPNmYKYyH8JFwLpbDYGDw,Innocent Man,0.575,0.838,10.0,-4.215,0.0,0.0869,0.00792,0.0011,0.33,0.718,146.949,audio_features,0SPNmYKYyH8JFwLpbDYGDw,spotify:track:0SPNmYKYyH8JFwLpbDYGDw,https://api.spotify.com/v1/tracks/0SPNmYKYyH8JFwLpbDYGDw,https://api.spotify.com/v1/audio-analysis/0SPNmYKYyH8JFwLpbDYGDw,237898.0,4.0
246,6eA1fv9WkhSDvWfxpL3lti,Conquering Lion,spotify:track:6eA1fv9WkhSDvWfxpL3lti,"One Love, One Heart",0.854,0.453,6.0,-12.82,0.0,0.0734,0.0299,0.0,0.157,0.816,132.212,audio_features,6eA1fv9WkhSDvWfxpL3lti,spotify:track:6eA1fv9WkhSDvWfxpL3lti,https://api.spotify.com/v1/tracks/6eA1fv9WkhSDvWfxpL3lti,https://api.spotify.com/v1/audio-analysis/6eA1fv9WkhSDvWfxpL3lti,201267.0,4.0
247,0obDVx1pIVBPWSGvtJDs8G,Deliver Me From My Enemies,spotify:track:0obDVx1pIVBPWSGvtJDs8G,"One Love, One Heart",0.807,0.433,8.0,-12.178,0.0,0.139,0.376,1.03e-05,0.122,0.961,136.773,audio_features,0obDVx1pIVBPWSGvtJDs8G,spotify:track:0obDVx1pIVBPWSGvtJDs8G,https://api.spotify.com/v1/tracks/0obDVx1pIVBPWSGvtJDs8G,https://api.spotify.com/v1/audio-analysis/0obDVx1pIVBPWSGvtJDs8G,171333.0,4.0
248,2KnpVIbSPdfFt1AKVPJ6nW,My Mind,spotify:track:2KnpVIbSPdfFt1AKVPJ6nW,Africa Must Be Free By 1983,0.818,0.418,4.0,-9.336,0.0,0.2,0.0321,1.56e-05,0.0736,0.609,148.588,audio_features,2KnpVIbSPdfFt1AKVPJ6nW,spotify:track:2KnpVIbSPdfFt1AKVPJ6nW,https://api.spotify.com/v1/tracks/2KnpVIbSPdfFt1AKVPJ6nW,https://api.spotify.com/v1/audio-analysis/2KnpVIbSPdfFt1AKVPJ6nW,216280.0,4.0
249,3LEre9p18tm6orlPSupVgD,Africa Must Be Free By 1983,spotify:track:3LEre9p18tm6orlPSupVgD,Africa Must Be Free By 1983,0.759,0.402,8.0,-11.008,1.0,0.235,0.0159,1.38e-05,0.13,0.632,75.071,audio_features,3LEre9p18tm6orlPSupVgD,spotify:track:3LEre9p18tm6orlPSupVgD,https://api.spotify.com/v1/tracks/3LEre9p18tm6orlPSupVgD,https://api.spotify.com/v1/audio-analysis/3LEre9p18tm6orlPSupVgD,148427.0,4.0
250,6ueDnmAamC2RcxY9izQQia,The Voices Of Sweet Jamaica - All Star Remix,spotify:track:6ueDnmAamC2RcxY9izQQia,The Voices Of Sweet Jamaica,0.669,0.71,10.0,-3.644,1.0,0.134,0.034,0.0,0.144,0.908,174.052,audio_features,6ueDnmAamC2RcxY9izQQia,spotify:track:6ueDnmAamC2RcxY9izQQia,https://api.spotify.com/v1/tracks/6ueDnmAamC2RcxY9izQQia,https://api.spotify.com/v1/audio-analysis/6ueDnmAamC2RcxY9izQQia,246364.0,4.0
251,4UJ9uBIX3ZUoBCtLylnKoe,It A Fi Burn,spotify:track:4UJ9uBIX3ZUoBCtLylnKoe,The Outlaw,0.78,0.419,8.0,-15.228,1.0,0.302,0.175,0.000263,0.0693,0.83,145.7,audio_features,4UJ9uBIX3ZUoBCtLylnKoe,spotify:track:4UJ9uBIX3ZUoBCtLylnKoe,https://api.spotify.com/v1/tracks/4UJ9uBIX3ZUoBCtLylnKoe,https://api.spotify.com/v1/audio-analysis/4UJ9uBIX3ZUoBCtLylnKoe,197067.0,4.0
