,track_name,track_id,track_uri,artist,album_name,album_id,album_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
206,Still You No. 1,7MhJWFroIDiYHwjP87VG85,spotify:track:7MhJWFroIDiYHwjP87VG85,Mike Anthony,Short-a-Nothing,44Ll8ORb6LQnX270bi95mc,spotify:album:44Ll8ORb6LQnX270bi95mc,0.852,0.283,0,-12.404,1,0.188,0.0279,0.0,0.0652,0.702,81.004,audio_features,7MhJWFroIDiYHwjP87VG85,spotify:track:7MhJWFroIDiYHwjP87VG85,https://api.spotify.com/v1/tracks/7MhJWFroIDiYHwjP87VG85,https://api.spotify.com/v1/audio-analysis/7MhJWFroIDiYHwjP87VG85,244933,4
207,Spread Love,2UiRZiEEFF6E0Hki2HmUMF,spotify:track:2UiRZiEEFF6E0Hki2HmUMF,Mike Anthony,"Pure Lovers, Vol. 9",71EUCiiRkGTl6hli3hDiML,spotify:album:71EUCiiRkGTl6hli3hDiML,0.764,0.299,1,-12.165,1,0.0584,0.0791,0.0,0.0632,0.454,91.979,audio_features,2UiRZiEEFF6E0Hki2HmUMF,spotify:track:2UiRZiEEFF6E0Hki2HmUMF,https://api.spotify.com/v1/tracks/2UiRZiEEFF6E0Hki2HmUMF,https://api.spotify.com/v1/audio-analysis/2UiRZiEEFF6E0Hki2HmUMF,233880,4
208,Who Told You So,2G1l9pKE4vYCLB62ZXdLnp,spotify:track:2G1l9pKE4vYCLB62ZXdLnp,Mike Anthony,Stingray Showcase Vol 8,7wCRQXZvXt8leALrIHItmK,spotify:album:7wCRQXZvXt8leALrIHItmK,0.74,0.356,1,-12.972,1,0.257,0.0223,0.000167,0.118,0.672,168.029,audio_features,2G1l9pKE4vYCLB62ZXdLnp,spotify:track:2G1l9pKE4vYCLB62ZXdLnp,https://api.spotify.com/v1/tracks/2G1l9pKE4vYCLB62ZXdLnp,https://api.spotify.com/v1/audio-analysis/2G1l9pKE4vYCLB62ZXdLnp,183093,4
209,Sexy Eyes,1ZTDObgomCg5ZLbJMUUvqO,spotify:track:1ZTDObgomCg5ZLbJMUUvqO,Mike Anthony,Back 4 More,0hCfBGRJ5pqj6h1am6Elm9,spotify:album:0hCfBGRJ5pqj6h1am6Elm9,0.749,0.324,8,-12.908,1,0.0932,0.0561,9.7e-05,0.335,0.674,84.991,audio_features,1ZTDObgomCg5ZLbJMUUvqO,spotify:track:1ZTDObgomCg5ZLbJMUUvqO,https://api.spotify.com/v1/tracks/1ZTDObgomCg5ZLbJMUUvqO,https://api.spotify.com/v1/audio-analysis/1ZTDObgomCg5ZLbJMUUvqO,223471,4
210,Sweetest One a Way,1Up7oRL26mZdIIswmqBP7Z,spotify:track:1Up7oRL26mZdIIswmqBP7Z,Mike Anthony,Back 4 More,0hCfBGRJ5pqj6h1am6Elm9,spotify:album:0hCfBGRJ5pqj6h1am6Elm9,0.624,0.332,11,-14.056,1,0.0698,0.089,0.0,0.319,0.704,151.622,audio_features,1Up7oRL26mZdIIswmqBP7Z,spotify:track:1Up7oRL26mZdIIswmqBP7Z,https://api.spotify.com/v1/tracks/1Up7oRL26mZdIIswmqBP7Z,https://api.spotify.com/v1/audio-analysis/1Up7oRL26mZdIIswmqBP7Z,224133,4
211,Miss Independant,3xX6TSgxiDvWo6AmzwUQxF,spotify:track:3xX6TSgxiDvWo6AmzwUQxF,Mike Anthony,"From R&B to Reggae, Vol. 3",7nYOBMIbC4Wj9GJH563S3s,spotify:album:7nYOBMIbC4Wj9GJH563S3s,0.804,0.644,8,-6.682,1,0.0345,0.0355,0.0,0.333,0.877,130.009,audio_features,3xX6TSgxiDvWo6AmzwUQxF,spotify:track:3xX6TSgxiDvWo6AmzwUQxF,https://api.spotify.com/v1/tracks/3xX6TSgxiDvWo6AmzwUQxF,https://api.spotify.com/v1/audio-analysis/3xX6TSgxiDvWo6AmzwUQxF,245968,4
212,Return of the Mac,3iAW8trdJY59lq06J6Bdhg,spotify:track:3iAW8trdJY59lq06J6Bdhg,Mike Anthony,"Mafia & Fluxy Presents from R&B to Reggae, Vol. 5",479b9PXlcwxCWfEwBcD3mN,spotify:album:479b9PXlcwxCWfEwBcD3mN,0.741,0.419,1,-11.098,1,0.272,0.00833,0.0,0.0606,0.494,179.81,audio_features,3iAW8trdJY59lq06J6Bdhg,spotify:track:3iAW8trdJY59lq06J6Bdhg,https://api.spotify.com/v1/tracks/3iAW8trdJY59lq06J6Bdhg,https://api.spotify.com/v1/audio-analysis/3iAW8trdJY59lq06J6Bdhg,227853,4
213,Episode,39X94jdNxrA0eHX2Ol7oAy,spotify:track:39X94jdNxrA0eHX2Ol7oAy,Mike Anthony,Music Inspired By The Film Brothers In Arms,1VYUWo1TCFWSjWokXMD2oY,spotify:album:1VYUWo1TCFWSjWokXMD2oY,0.683,0.531,8,-6.149,0,0.0425,0.139,0.0,0.0442,0.399,129.948,audio_features,39X94jdNxrA0eHX2Ol7oAy,spotify:track:39X94jdNxrA0eHX2Ol7oAy,https://api.spotify.com/v1/tracks/39X94jdNxrA0eHX2Ol7oAy,https://api.spotify.com/v1/audio-analysis/39X94jdNxrA0eHX2Ol7oAy,257747,4
214,Mister Vibes,4CDrtAlHJWlgPG98nCC0eR,spotify:track:4CDrtAlHJWlgPG98nCC0eR,Peter Hunningale   ,"Pure Lovers, Vol. 4",5MF7yPWAg1iL6u1tSMKJl8,spotify:album:5MF7yPWAg1iL6u1tSMKJl8,0.666,0.595,7,-11.8,1,0.0517,0.27,0.000129,0.0322,0.944,77.972,audio_features,4CDrtAlHJWlgPG98nCC0eR,spotify:track:4CDrtAlHJWlgPG98nCC0eR,https://api.spotify.com/v1/tracks/4CDrtAlHJWlgPG98nCC0eR,https://api.spotify.com/v1/audio-analysis/4CDrtAlHJWlgPG98nCC0eR,210600,4
215,Crazy Love,6xkHk2ruMguEbmWqH344uD,spotify:track:6xkHk2ruMguEbmWqH344uD,Peter Hunningale   ,Smooth Sounds of Saxon,72qAEusPLF9UXrmrSkx9gp,spotify:album:72qAEusPLF9UXrmrSkx9gp,0.764,0.416,7,-9.138,1,0.0843,0.337,0.0,0.144,0.728,79.414,audio_features,6xkHk2ruMguEbmWqH344uD,spotify:track:6xkHk2ruMguEbmWqH344uD,https://api.spotify.com/v1/tracks/6xkHk2ruMguEbmWqH344uD,https://api.spotify.com/v1/audio-analysis/6xkHk2ruMguEbmWqH344uD,205600,4
