,track_name,artist,album,release_date,explicit,track_id,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
07h62QnczuPjgqS17wfw3F,Kokob / Mètché Dershé,Akalé Wubé,Akalé Wubé,2010-05-07,False,07h62QnczuPjgqS17wfw3F,spotify:track:07h62QnczuPjgqS17wfw3F,0.753,0.239,0,-12.904,0,0.0644,0.243,0.586,0.0954,0.531,121.225,audio_features,07h62QnczuPjgqS17wfw3F,spotify:track:07h62QnczuPjgqS17wfw3F,https://api.spotify.com/v1/tracks/07h62QnczuPjgqS17wfw3F,https://api.spotify.com/v1/audio-analysis/07h62QnczuPjgqS17wfw3F,272347,4,reggae
07ocQJi9EGo33ki77jKi6W,Let's Get It On,Fiji,Indigenous Life,2008-09-09,False,07ocQJi9EGo33ki77jKi6W,spotify:track:07ocQJi9EGo33ki77jKi6W,0.786,0.547,0,-6.411,1,0.14,0.0413,8.18e-06,0.0896,0.876,156.116,audio_features,07ocQJi9EGo33ki77jKi6W,spotify:track:07ocQJi9EGo33ki77jKi6W,https://api.spotify.com/v1/tracks/07ocQJi9EGo33ki77jKi6W,https://api.spotify.com/v1/audio-analysis/07ocQJi9EGo33ki77jKi6W,227493,4,reggae
08OGFSdjxqywNK3uGhnTLB,Hurry On Now - Boub Remix,Alice Russell,Hurry On Now (Boub Remix),2006-10-30,False,08OGFSdjxqywNK3uGhnTLB,spotify:track:08OGFSdjxqywNK3uGhnTLB,0.743,0.658,11,-4.767,1,0.0538,0.0782,0.0369,0.101,0.842,166.628,audio_features,08OGFSdjxqywNK3uGhnTLB,spotify:track:08OGFSdjxqywNK3uGhnTLB,https://api.spotify.com/v1/tracks/08OGFSdjxqywNK3uGhnTLB,https://api.spotify.com/v1/audio-analysis/08OGFSdjxqywNK3uGhnTLB,268760,4,reggae
09FKklnpaVgdx1Wb8OfnAE,Handcuff,Gregory Isaacs,Let's Dance,2019-06-28,False,09FKklnpaVgdx1Wb8OfnAE,spotify:track:09FKklnpaVgdx1Wb8OfnAE,0.711,0.857,0,-3.706,1,0.0374,0.0443,0.00193,0.0637,0.822,137.479,audio_features,09FKklnpaVgdx1Wb8OfnAE,spotify:track:09FKklnpaVgdx1Wb8OfnAE,https://api.spotify.com/v1/tracks/09FKklnpaVgdx1Wb8OfnAE,https://api.spotify.com/v1/audio-analysis/09FKklnpaVgdx1Wb8OfnAE,211705,4,reggae
09WTQoXMDWiiPXTwOJzoIq,Lost In The Cold,Twiddle,PLUMP (Chapters 1 & 2),2017-04-28,False,09WTQoXMDWiiPXTwOJzoIq,spotify:track:09WTQoXMDWiiPXTwOJzoIq,0.355,0.713,0,-4.611,1,0.0528,0.495,0.0,0.191,0.563,168.221,audio_features,09WTQoXMDWiiPXTwOJzoIq,spotify:track:09WTQoXMDWiiPXTwOJzoIq,https://api.spotify.com/v1/tracks/09WTQoXMDWiiPXTwOJzoIq,https://api.spotify.com/v1/audio-analysis/09WTQoXMDWiiPXTwOJzoIq,273187,4,reggae
09Z17YNS4sY5xDRGwypkkU,Baby Tonight,Bitty McLean,On Bond Street,2007-12-21,False,09Z17YNS4sY5xDRGwypkkU,spotify:track:09Z17YNS4sY5xDRGwypkkU,0.742,0.65,0,-5.213,0,0.227,0.676,7.4e-05,0.103,0.792,156.551,audio_features,09Z17YNS4sY5xDRGwypkkU,spotify:track:09Z17YNS4sY5xDRGwypkkU,https://api.spotify.com/v1/tracks/09Z17YNS4sY5xDRGwypkkU,https://api.spotify.com/v1/audio-analysis/09Z17YNS4sY5xDRGwypkkU,181560,4,reggae
09Z17YNS4sY5xDRGwypkkU,Baby Tonight,Bitty McLean,On Bond Street,2007-12-21,False,09Z17YNS4sY5xDRGwypkkU,spotify:track:09Z17YNS4sY5xDRGwypkkU,0.742,0.65,0,-5.213,0,0.227,0.676,7.4e-05,0.103,0.792,156.551,audio_features,09Z17YNS4sY5xDRGwypkkU,spotify:track:09Z17YNS4sY5xDRGwypkkU,https://api.spotify.com/v1/tracks/09Z17YNS4sY5xDRGwypkkU,https://api.spotify.com/v1/audio-analysis/09Z17YNS4sY5xDRGwypkkU,181560,4,reggae
09Z17YNS4sY5xDRGwypkkU,Baby Tonight,Bitty McLean,On Bond Street,2007-12-21,False,09Z17YNS4sY5xDRGwypkkU,spotify:track:09Z17YNS4sY5xDRGwypkkU,0.742,0.65,0,-5.213,0,0.227,0.676,7.4e-05,0.103,0.792,156.551,audio_features,09Z17YNS4sY5xDRGwypkkU,spotify:track:09Z17YNS4sY5xDRGwypkkU,https://api.spotify.com/v1/tracks/09Z17YNS4sY5xDRGwypkkU,https://api.spotify.com/v1/audio-analysis/09Z17YNS4sY5xDRGwypkkU,181560,4,reggae
09Z17YNS4sY5xDRGwypkkU,Baby Tonight,Bitty McLean,On Bond Street,2007-12-21,False,09Z17YNS4sY5xDRGwypkkU,spotify:track:09Z17YNS4sY5xDRGwypkkU,0.742,0.65,0,-5.213,0,0.227,0.676,7.4e-05,0.103,0.792,156.551,audio_features,09Z17YNS4sY5xDRGwypkkU,spotify:track:09Z17YNS4sY5xDRGwypkkU,https://api.spotify.com/v1/tracks/09Z17YNS4sY5xDRGwypkkU,https://api.spotify.com/v1/audio-analysis/09Z17YNS4sY5xDRGwypkkU,181560,4,reggae
0AlA5gUJTKVwDP5jQkMS83,Homewrecker,Baked Potatoes,Loaded,2016-04-20,False,0AlA5gUJTKVwDP5jQkMS83,spotify:track:0AlA5gUJTKVwDP5jQkMS83,0.681,0.564,6,-11.637,0,0.0321,0.0428,0.000376,0.258,0.774,138.103,audio_features,0AlA5gUJTKVwDP5jQkMS83,spotify:track:0AlA5gUJTKVwDP5jQkMS83,https://api.spotify.com/v1/tracks/0AlA5gUJTKVwDP5jQkMS83,https://api.spotify.com/v1/audio-analysis/0AlA5gUJTKVwDP5jQkMS83,253649,4,reggae
0AowGZii4pRyeop9bkqW0C,For The Love Of You,John Holt,The Tide Is High,2015-06-10,False,0AowGZii4pRyeop9bkqW0C,spotify:track:0AowGZii4pRyeop9bkqW0C,0.775,0.586,1,-5.788,1,0.0962,0.0773,0.00026,0.0539,0.775,83.183,audio_features,0AowGZii4pRyeop9bkqW0C,spotify:track:0AowGZii4pRyeop9bkqW0C,https://api.spotify.com/v1/tracks/0AowGZii4pRyeop9bkqW0C,https://api.spotify.com/v1/audio-analysis/0AowGZii4pRyeop9bkqW0C,217773,4,reggae
0BCacln36rQabzaQCoThDk,Norman,Max Romeo,War Ina Babylon,1976-01-01,False,0BCacln36rQabzaQCoThDk,spotify:track:0BCacln36rQabzaQCoThDk,0.896,0.4,4,-13.015,0,0.0688,0.00918,2.57e-06,0.0746,0.91,128.08,audio_features,0BCacln36rQabzaQCoThDk,spotify:track:0BCacln36rQabzaQCoThDk,https://api.spotify.com/v1/tracks/0BCacln36rQabzaQCoThDk,https://api.spotify.com/v1/audio-analysis/0BCacln36rQabzaQCoThDk,288840,4,reggae
0BTy3cSsHxNkEuxJENJfd5,Concrete Jungle - Original Album Version,Bob Marley & The Wailers,Catch A Fire (Deluxe Edition),1973-04-13,False,0BTy3cSsHxNkEuxJENJfd5,spotify:track:0BTy3cSsHxNkEuxJENJfd5,0.698,0.564,2,-11.293,1,0.111,0.384,0.00854,0.148,0.69,96.583,audio_features,0BTy3cSsHxNkEuxJENJfd5,spotify:track:0BTy3cSsHxNkEuxJENJfd5,https://api.spotify.com/v1/tracks/0BTy3cSsHxNkEuxJENJfd5,https://api.spotify.com/v1/audio-analysis/0BTy3cSsHxNkEuxJENJfd5,254676,4,reggae
0BweE3lWBMXRPWWLtLV5z8,Count Me In,Rebelution,Count Me In,2014-06-10,False,0BweE3lWBMXRPWWLtLV5z8,spotify:track:0BweE3lWBMXRPWWLtLV5z8,0.8,0.661,7,-8.291,1,0.0304,0.0204,0.000107,0.0687,0.59,92.015,audio_features,0BweE3lWBMXRPWWLtLV5z8,spotify:track:0BweE3lWBMXRPWWLtLV5z8,https://api.spotify.com/v1/tracks/0BweE3lWBMXRPWWLtLV5z8,https://api.spotify.com/v1/audio-analysis/0BweE3lWBMXRPWWLtLV5z8,189613,4,reggae
0BweE3lWBMXRPWWLtLV5z8,Count Me In,Rebelution,Count Me In,2014-06-10,False,0BweE3lWBMXRPWWLtLV5z8,spotify:track:0BweE3lWBMXRPWWLtLV5z8,0.8,0.661,7,-8.291,1,0.0304,0.0204,0.000107,0.0687,0.59,92.015,audio_features,0BweE3lWBMXRPWWLtLV5z8,spotify:track:0BweE3lWBMXRPWWLtLV5z8,https://api.spotify.com/v1/tracks/0BweE3lWBMXRPWWLtLV5z8,https://api.spotify.com/v1/audio-analysis/0BweE3lWBMXRPWWLtLV5z8,189613,4,reggae
0BweE3lWBMXRPWWLtLV5z8,Count Me In,Rebelution,Count Me In,2014-06-10,False,0BweE3lWBMXRPWWLtLV5z8,spotify:track:0BweE3lWBMXRPWWLtLV5z8,0.8,0.661,7,-8.291,1,0.0304,0.0204,0.000107,0.0687,0.59,92.015,audio_features,0BweE3lWBMXRPWWLtLV5z8,spotify:track:0BweE3lWBMXRPWWLtLV5z8,https://api.spotify.com/v1/tracks/0BweE3lWBMXRPWWLtLV5z8,https://api.spotify.com/v1/audio-analysis/0BweE3lWBMXRPWWLtLV5z8,189613,4,reggae
0BweE3lWBMXRPWWLtLV5z8,Count Me In,Rebelution,Count Me In,2014-06-10,False,0BweE3lWBMXRPWWLtLV5z8,spotify:track:0BweE3lWBMXRPWWLtLV5z8,0.8,0.661,7,-8.291,1,0.0304,0.0204,0.000107,0.0687,0.59,92.015,audio_features,0BweE3lWBMXRPWWLtLV5z8,spotify:track:0BweE3lWBMXRPWWLtLV5z8,https://api.spotify.com/v1/tracks/0BweE3lWBMXRPWWLtLV5z8,https://api.spotify.com/v1/audio-analysis/0BweE3lWBMXRPWWLtLV5z8,189613,4,reggae
